id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,BetPrize,ZonePrize
29,donut,uncommon,29,29,1,0,5.5058378016085791,4107.355,686,746,17,400,0,61727,40,14.900739299715713,14.900739299715713,0.021721194314454392,66,,,,
30,baseball,epic,29,29,1,0,9.6968000000000000,678.776,69,70,13,6718.800000000000000000,0,57706,11,9.246438802794223,9.246438802794223,0.13400635946078585,75,,,,
31,bowie,rare,29,29,1,0,7.8794873417721519,2489.918,312,316,14,1400,0,389343,131,67.64980344966902,67.64980344966902,0.21682629310791354,45,,,,
32,eyeball,rare,29,29,1,0,7.0075328719723183,2025.177,276,289,14,1500,0,59412,46,10.323057362150433,10.323057362150433,0.037402381746921856,74,,,,
33,eyeball2,epic,29,29,1,0,10.5275333333333333,789.565,71,75,14,5690.000000000000000000,0,35905,17,6.2386281321620425,6.2386281321620425,0.08786800186143721,78,,,,
34,discoball,epic,29,29,1,0,14.0534905660377358,744.835,53,53,6,7000,0,731153,149,111.74782802229967,111.74782802229967,2.108449585326409,43,,,,
35,fishcake,uncommon,29,29,1,0,5.3546202185792350,3919.582,682,732,22,439,0,1189,1,0.12580323749567998,0.12580323749567998,0.00018446222506697944,87,,,,
36,floater,rare,29,29,1,0,8.5397333333333333,1280.960,150,150,18,2920.000000000000000000,0,143908,31,119.26174698305152,119.26174698305152,0.7950783132203435,38,,,,
37,fox,uncommon,29,29,1,0,6.0203495518565941,4701.893,709,781,14,391,0,89433,43,15.5393184721807,15.5393184721807,0.021917233388125106,65,,,,
38,fox777,legendary,29,29,1,0,31.7247857142857143,444.147,14,14,8,104100.000000000000000000,0,320731,132,43.900292524865684,43.900292524865684,3.135735180347549,54,,,,
40,gamer,rare,29,29,1,0,10.2953300000000000,1029.533,99,100,29,4200,0,1149963,240,258.0558877757637,258.0558877757637,2.6066251290481186,30,,,,
41,xmasball,epic,29,29,1,0,10.7915000000000000,647.490,60,60,11,8005.000000000000000000,0,78282,63,12.65915798051936,12.65915798051936,0.21098596634198935,69,,,,
42,derp,uncommon,29,29,1,0,7.0841166666666667,2975.329,420,420,14,1278.000000000000000000,0,454988,120,43.06438556191435,43.06438556191435,0.1025342513378913,55,,,,
43,moneybag,legendary,29,29,1,0,19.1321000000000000,191.321,10,10,27,41000.138000000000000000,0,740197,158,285.00618683130807,285.00618683130807,28.500618683130806,27,,,,
44,moon,uncommon,29,16,1,0,6.1948700000000000,3716.922,600,600,26,8800.000000000000000000,4,8046965,2004,4272.247214476241,5272.247214476241,8.787078690793736,2,1000,900.000000000000000000,86.22222222222223,
45,bull,uncommon,29,29,1,0,6.3751101036269430,4921.585,738,772,30,432.000000000000000000,0,792638,139,149.6400013061562,149.6400013061562,0.20276422941213576,35,,,,
46,opencan,uncommon,29,29,1,0,5.0033433333333333,3002.006,600,600,3,544.000000000000000000,0,110154,36,12.327352113005444,12.327352113005444,0.020545586855009075,70,,,,
47,candyswirl,rare,29,29,1,0,11.5610100000000000,1156.101,100,100,9,6850.000000000000000000,3,7263986,1871,3042.7273770035713,3542.7273770035713,35.42727377003571,3,500,,,
48,royman,epic,29,29,1,0,12.4999000000000000,624.995,50,50,11,6950,0,85959,35,13.900622887093633,13.900622887093633,0.27801245774187267,68,,,,
49,panda,uncommon,29,29,1,0,5.4788033333333333,3287.282,599,600,11,629,0,457006,140,191.01365307614518,191.01365307614518,0.3188875677398083,33,,,,
50,melon,rare,29,29,1,0,7.0176789667896679,1901.791,267,271,23,1500,0,284181,39,53.83736768741065,53.83736768741065,0.20163808122625712,48,,100.000000000000000000,,
51,casinochip,uncommon,29,29,1,0,5.1835400000000000,3110.124,600,600,22,1880.000000000000000000,1,3878021,942,1574.6862545648125,1574.6862545648125,2.624477090941354,8,,200.000000000000000000,,
52,pizza,rare,29,29,1,0,8.9504666666666667,1342.570,150,150,12,2500,0,139850,20,28.755689263937832,28.755689263937832,0.19170459509291887,59,,,,
53,jackolantern,rare,29,29,1,0,9.6691466666666667,1450.372,150,150,3,2190.000000000000000000,0,102130,35,11.429384963789296,11.429384963789296,0.07619589975859531,71,,,,
54,waffle,uncommon,29,29,1,0,5.1749862637362637,3767.390,679,728,22,370,0,57908,56,6.127009147939307,6.127009147939307,0.009023577537465842,79,,,,
55,saturn,common,29,29,1,0,3.7492585000000000,7498.517,1996,2000,8,216.000000000000000000,0,215372,171,29.205287465905,29.205287465905,0.014631907548048596,57,,,,
56,marble,rare,29,29,1,0,7.4684912891986063,2143.457,278,287,16,1400.000000000000000000,0,314251,155,28.880396624107433,28.880396624107433,0.10388631879175336,58,,,,
57,skull,uncommon,29,29,1,0,6.5744732006125574,4293.131,651,653,30,899.800000000000000000,0,1018883,412,299.5591510349843,299.5591510349843,0.4601523057373031,25,,,,
58,skullpatch,rare,29,29,1,0,9.1148200000000000,1367.223,150,150,24,2600,0,1038778,259,264.035442772734,264.035442772734,1.7602362851515598,29,,,,
59,football,common,17,21,1,0,4.1243330000000000,8248.666,1997,2000,3,1050,3,9175890,2597,2898.8769713068546,2898.8769713068546,1.451615909517704,4,,500.000000000000000000,201.79999999999998,
60,starballoon,common,29,29,1,0,3.4596170791406038,12721.012,3414,3678,7,95.800000000000000000,0,98102,60,16.7114692097708,16.7114692097708,0.004894982193840305,64,,,,
61,tamagochi,epic,29,29,1,0,11.9827631578947368,910.690,76,76,16,7293.000000000000000000,0,9128,5,0.6909478611341633,0.6909478611341633,0.009091419225449517,86,,,,
62,target,uncommon,29,29,1,0,5.0355898123324397,3756.550,711,746,23,388,0,845176,139,168.82285647768143,168.82285647768143,0.23744424258464336,34,,,,
64,tomato,uncommon,29,29,1,0,5.0031561679790026,3812.405,740,762,26,433,0,128681,111,10.342546807807809,10.342546807807809,0.013976414605145687,73,,,,
65,volleyball,common,29,29,1,0,3.0816410000000000,6163.282,2000,2000,7,213.800000000000000000,0,1014633,104,270.4475583363344,270.4475583363344,0.1352237791681672,28,,,,
66,racoon,uncommon,29,29,1,0,6.3450217669654289,4955.462,735,781,11,400,0,34266,19,5.54123179479927,5.54123179479927,0.007539090877277918,80,,,,
67,peach,rare,29,29,1,0,10.1696100000000000,1016.961,100,100,8,3739.800000000000000000,0,132549,63,17.974163996797362,17.974163996797362,0.17974163996797363,63,,,,
68,watermelon,uncommon,29,29,1,0,4.1408700000000000,2484.522,600,600,7,550,0,1546940,428,288.38605754976044,288.38605754976044,0.48064342924960074,26,,,,
69,citrus,epic,29,24,1,0,15.6919800000000000,784.599,50,50,7,9000,0,366562,104,82.16859990079091,82.16859990079091,1.6433719980158181,44,,,,
70,potion,epic,29,29,1,0,13.8918000000000000,694.590,50,50,29,10000,1,2519140,274,806.0217174048341,806.0217174048341,16.120434348096683,15,,,,
