id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,ZonePrize,BetPrize
49,panda,uncommon,29,29,1,0,5.3844016666666667,3230.641,599,600,13,970.000000000000000000,0,996706,516,248.68102210827942,248.68102210827942,0.41516030402049986,41,,,,
50,melon,rare,29,29,1,0,6.9909780219780220,1908.537,269,273,33,2000,0,318651,66,267.3965772327767,267.3965772327767,0.9940393205679431,40,,,,
51,casinochip,uncommon,24,29,1,0,5.0001783333333333,3000.107,600,600,3,1340,0,482366,297,171.58499091991172,171.58499091991172,0.2859749848665195,48,,,,
52,pizza,rare,29,29,1,0,8.8295533333333333,1324.433,150,150,13,3960.000000000000000000,1,1971229,516,1346.7324046806878,1346.7324046806878,8.978216031204585,14,,,,
53,jackolantern,rare,29,29,1,0,9.5972600000000000,1439.589,150,150,23,2400,0,535510,167,97.65325938553886,97.65325938553886,0.6510217292369257,55,,,,
54,waffle,uncommon,29,29,1,0,5.1184951989026063,3731.383,680,729,29,352.700000000000000000,0,92016,42,14.846588118650136,14.846588118650136,0.021833217821544317,79,,,,
55,saturn,common,29,29,1,0,3.6686905000000000,7337.381,1996,2000,4,259.400000000000000000,0,326076,362,51.67439290186443,51.67439290186443,0.025888974399731677,61,,,,
56,marble,rare,29,24,1,0,7.3400833333333333,2113.944,279,288,12,1700,0,258529,249,28.219152684635947,28.219152684635947,0.1011439164323869,72,,,,
57,skull,uncommon,29,29,1,0,6.5510750382848392,4277.852,651,653,32,1184.095238095200000000,0,643784,252,466.08695969783844,466.08695969783844,0.7159553912409192,28,,,,
58,skullpatch,rare,29,29,1,0,8.9490066666666667,1342.351,150,150,5,2054.000000000000000000,0,370710,71,302.40466810244214,302.40466810244214,2.0160311206829475,37,,,,
59,football,common,21,19,1,0,3.9354445000000000,7870.889,1997,2000,17,950,2,6665987,2913,2856.426218135939,2856.426218135939,1.4303586470385272,4,,100.000000000000000000,,
60,starballoon,common,29,29,1,0,3.4274596796090144,12623.334,3420,3684,25,113,0,233714,273,51.881286801693214,51.881286801693214,0.015169966901079888,60,,,,
61,tamagochi,epic,29,29,1,0,11.9560789473684211,908.662,76,76,33,7713.000000000000000000,0,261232,64,181.96069933783227,181.96069933783227,2.394219728129372,46,,,,
62,target,uncommon,29,29,1,0,5.0199544846050870,3749.906,712,747,20,361.000000000000000000,0,355553,141,192.92772563463666,192.92772563463666,0.27096590679022003,43,,,,
64,tomato,uncommon,29,29,1,0,4.9127745740498034,3748.447,741,763,14,371.474190476000000000,0,189936,126,22.63042683060643,22.63042683060643,0.03054038708583864,76,,,,
65,volleyball,common,29,24,1,0,3.0359745000000000,6071.949,2000,2000,23,287,0,3123158,783,1388.6959335311979,1388.6959335311979,0.694347966765599,13,,,,
66,racoon,uncommon,29,29,1,0,6.3201619897959184,4955.007,738,784,3,398.236190476190472000,0,36230,59,6.166566400607607,6.166566400607607,0.008355781030633613,84,,,,
67,peach,rare,29,29,1,0,10.0572100000000000,1005.721,100,100,26,2953,0,110637,22,24.273024567584596,24.273024567584596,0.24273024567584595,75,,,,
68,watermelon,uncommon,29,29,1,0,4.0811650000000000,2448.699,600,600,6,600,0,490420,233,171.56744731620822,171.56744731620822,0.2859457455270137,49,,,,
69,citrus,epic,29,29,1,0,15.3752800000000000,768.764,50,50,11,9000,0,997667,333,355.659404822876,355.659404822876,7.11318809645752,33,,,,
70,potion,epic,29,29,1,0,13.6376200000000000,681.881,50,50,3,11400,0,563777,186,301.3340528534139,301.3340528534139,6.026681057068277,38,,,,
71,crlogo,legendary,29,19,1,0,28.6182000000000000,286.182,10,10,8,70780.933320000000000000,4,11223899,3188,8342.201609737403,11342.201609737403,1134.2201609737403,1,3000,900.000000000000000000,1000,245.00000000000003
72,yinyang,uncommon,29,29,1,0,5.3995321229050279,3866.065,688,716,23,479.000000000000000000,0,145575,131,30.540255188371077,30.540255188371077,0.04438990579705098,69,,,,
73,waffle2,legendary,29,29,1,0,16.8526666666666667,303.348,18,18,8,40500,0,1097624,429,546.7431909335096,546.7431909335096,30.37462171852831,27,,,,
74,snowman,epic,29,29,1,0,12.1536600000000000,607.683,50,50,7,8639.600000000000000000,0,95274,29,26.61394128311116,26.61394128311116,0.5322788256622232,74,,,,
75,crosshair,common,24,29,1,0,3.3053845000000000,6610.769,2000,2000,22,990,1,3490429,1595,1614.2855771053296,1614.2855771053296,0.8071427885526647,12,,,,
76,xmasball2,common,29,29,1,0,3.7729715745768125,11813.174,2911,3996,23,55,0,313343,305,54.38374791736917,54.38374791736917,0.018682153183568934,59,,,,
77,xmasball1,rare,29,29,1,100.000000000000000000,11.2884900000000000,1128.849,100,100,7,10323.000000000000000000,1,3881441,944,1684.137406994939,1684.137406994939,16.841374069949392,11,,,,
78,vase,common,29,29,1,0,2.4577375000000000,4915.475,1999,2000,28,160.200000000000000000,0,485794,320,301.1762496135424,301.1762496135424,0.1506634565350387,39,,,,
79,ufo,uncommon,21,19,1,0,5.7195100000000000,3431.706,600,600,17,3200.000000000000000000,3,7099531,1846,2956.3670381891193,3456.3670381891193,5.7606117303151985,3,500,300.000000000000000000,,311
80,wheeee,rare,29,29,1,0,8.5272266666666667,1279.084,150,150,31,2855.000000000000000000,0,2853439,880,566.4130659161577,566.4130659161577,3.776087106107718,26,,,,
81,owl,epic,29,24,1,200.000000000000000000,17.3672000000000000,868.360,50,50,10,18660.000000000000000000,0,562897,85,167.3661325872933,167.3661325872933,3.347322651745866,50,,,,
83,ape,epic,29,24,1,0,15.8667400000000000,793.337,50,50,20,21000.000000000000000000,1,3211071,830,1708.1291304390622,1708.1291304390622,34.16258260878124,9,,300.000000000000000000,,
84,ghost,epic,29,19,1,0,21.2178000000000000,1060.890,50,50,19,45200.000000000000000000,2,6808503,1890,2658.219479235583,2658.219479235583,53.164389584711664,5,,800.000000000000000000,,95.25
85,diver,rare,29,21,1,0,7.9608266666666667,1194.124,150,150,14,5650.000000000000000000,0,3707890,988,2063.1052081067673,2063.1052081067673,13.754034720711783,7,,,,
86,cobra,legendary,29,21,1,0,32.5432000000000000,325.432,10,10,20,75400.000000000000000000,2,2266046,576,1688.255483214649,1688.255483214649,168.8255483214649,10,,,,
87,clock,common,29,29,1,0,2.3558930000000000,4711.786,2000,2000,22,190.000000000000000000,0,580276,294,430.47535142766617,430.47535142766617,0.2152376757138331,29,,,,
88,ladybug,rare,29,29,1,0,9.5421266666666667,1431.319,150,150,29,5000,0,2015291,320,627.5113767558231,627.5113767558231,4.183409178372154,24,,,,
89,dragon,epic,29,29,1,100.000000000000000000,15.6311000000000000,781.555,50,50,19,11400,1,1670286,426,797.8834800650387,797.8834800650387,15.957669601300774,22,,,,
90,virus,common,29,29,1,0,2.4672245000000000,4934.449,2000,2000,9,180.000000000000000000,0,1108064,484,371.3091877710043,371.3091877710043,0.18565459388550215,31,,,,
91,cougar,rare,29,24,1,0,9.2081666666666667,1381.225,150,150,13,3718.000000000000000000,1,4154370,1347,2002.7108570780606,2002.7108570780606,13.351405713853737,8,,,,
92,botroyale,legendary,29,29,1,0,22.2803000000000000,222.803,10,10,3,47240.000000000000000000,3,3941014,1056,2106.9277743860703,2106.9277743860703,210.69277743860704,6,,,,
93,mummy,epic,29,29,1,0,14.2402000000000000,712.010,50,50,18,11400,0,1034791,371,353.3670103858251,353.3670103858251,7.0673402077165015,34,,,,
94,frankie,rare,29,29,1,0,6.6453333333333333,996.800,150,150,15,2521.600000000000000000,0,209302,134,29.533903124486848,29.533903124486848,0.19689268749657898,70,,,,
95,earth,uncommon,29,29,1,0,2.6047866666666667,1562.872,600,600,30,1104.000000000000000000,0,434982,361,67.96112675394453,67.96112675394453,0.11326854458990754,57,,,,
