id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,RankPrize,ZonePrize
25,devil,epic,29,29,1,0,13.6413209876543210,1104.947,80,81,28,9300,0,483369,169,152.62775250336847,152.62775250336847,1.907846906292106,46,,,,
26,revolver,uncommon,24,29,1,0,3.8246233333333333,2294.774,600,600,5,778.000000000000000000,0,725187,641,267.12005457692896,267.12005457692896,0.4452000909615483,34,,,,
27,disguise,epic,29,24,1,0,12.2083636363636364,940.044,76,77,25,5957.000000000000000000,0,718082,174,208.1468748395616,208.1468748395616,2.7387746689416,42,,,,
28,dog,uncommon,29,29,1,0,4.6491650000000000,2789.499,600,600,26,549.000000000000000000,0,213286,160,52.616240371040014,52.616240371040014,0.08769373395173335,60,,,,
29,donut,uncommon,29,29,1,0,5.4314119205298013,4100.716,695,755,9,439.800000000000000000,0,502895,262,198.06546886750021,198.06546886750021,0.2849862861402881,43,,,,
30,baseball,epic,29,29,1,0,9.6317464788732394,683.854,70,71,17,5178.800000000000000000,0,14749,9,4.375657981081396,4.375657981081396,0.06250939972973422,82,,,,
31,bowie,rare,29,29,1,0,7.6381506024096386,2535.866,328,332,4,1800,0,249654,154,51.91953365316805,51.91953365316805,0.15829126113770747,62,,,,
32,eyeball,rare,29,29,1,0,6.9890983050847458,2061.784,282,295,4,1285.400000000000000000,0,65488,66,13.619274755776672,13.619274755776672,0.04829530055239955,77,,,,
33,eyeball2,epic,29,29,1,0,10.6308552631578947,807.945,72,76,17,6420.000000000000000000,0,103437,66,30.68716079660427,30.68716079660427,0.42621056661950374,70,,,,
34,discoball,epic,29,29,1,0,13.7110377358490566,726.685,53,53,6,9100.000000000000000000,1,1310131,165,708.2364649148649,708.2364649148649,13.362952168204998,21,,,,
35,fishcake,uncommon,29,29,1,0,5.3313659517426273,3977.199,696,746,4,461.800000000000000000,0,13457,9,2.798597916999858,2.798597916999858,0.004020974018677957,84,,,,
36,floater,rare,29,29,1,0,8.3275200000000000,1249.128,150,150,23,8000,0,32089,32,14.097095271900162,14.097095271900162,0.09398063514600108,76,100.000000000000000000,,,
37,fox,uncommon,29,29,1,0,5.9041796482412060,4699.727,723,796,4,556.000000000000000000,0,249990,66,51.98941021556026,51.98941021556026,0.071907897946833,61,,,,
38,fox777,legendary,29,24,1,0,29.7526428571428571,416.537,14,14,11,100000,0,3732414,600,1251.375227036271,1251.375227036271,89.38394478830507,10,,,,
40,gamer,rare,29,29,1,0,9.3651100000000000,936.511,99,100,12,3370.000000000000000000,0,355315,214,229.58896524762517,229.58896524762517,2.3190804570467187,37,,,,
41,xmasball,epic,29,29,1,0,10.7031333333333333,642.188,59,60,17,5980.000000000000000000,0,75534,46,22.409041287070462,22.409041287070462,0.3798142591028892,72,,,,
42,derp,uncommon,29,29,1,0,6.9036952380952381,2899.552,420,420,15,1000,0,552339,310,282.9957429822822,282.9957429822822,0.6737993880530528,33,,,,
43,moneybag,legendary,29,29,1,0,17.3610000000000000,173.610,10,10,9,45813.142000000000000000,0,357875,218,136.29321830228304,136.29321830228304,13.629321830228303,48,,,,
44,moon,uncommon,24,19,1,0,5.5001233333333333,3300.074,600,600,7,3250.000000000000000000,1,4268952,1567,1963.5169372137652,1963.5169372137652,3.272528228689609,5,200.000000000000000000,259,,
45,bull,uncommon,29,21,1,0,6.1476088050314465,4887.349,761,795,20,900,0,410921,212,254.910144492928,254.910144492928,0.334967338361272,35,,,,
46,opencan,uncommon,29,29,1,0,4.9011966666666667,2940.718,600,600,6,649,0,227576,74,47.120613370693704,47.120613370693704,0.07853435561782283,64,,,,
47,candyswirl,rare,29,29,1,0,10.4499100000000000,1044.991,100,100,13,6778.500000000000000000,0,478891,351,312.7896307313714,312.7896307313714,3.127896307313714,32,,,,
48,royman,epic,29,29,1,0,12.5462600000000000,627.313,50,50,3,8000,0,9593,13,3.3977075391908182,3.3977075391908182,0.06795415078381636,83,,,,
49,panda,uncommon,29,24,1,0,5.3012516666666667,3180.751,599,600,16,680.000000000000000000,0,760558,376,472.86140070686565,472.86140070686565,0.7894180312301596,27,,,,
50,melon,rare,29,29,1,0,6.9857607142857143,1956.013,276,280,4,1290.000000000000000000,0,336365,98,215.56454174161993,215.56454174161993,0.7810309483392026,40,,,,
51,casinochip,uncommon,29,29,1,0,4.7283300000000000,2836.998,600,600,27,664.000000000000000000,0,213636,159,62.66478859051949,62.66478859051949,0.1044413143175325,54,,,,
52,pizza,rare,29,21,1,0,8.6529600000000000,1297.944,150,150,29,3890.138000000000000000,1,2698841,1072,935.4769689008801,935.4769689008801,6.2365131260058675,15,,,,
53,jackolantern,rare,29,29,1,0,9.6015400000000000,1440.231,150,150,9,2120.000000000000000000,0,182885,98,47.23442136667667,47.23442136667667,0.31489614244451114,63,,,,
54,waffle,uncommon,29,29,1,0,5.1078527027027027,3779.811,691,740,17,600,0,187418,141,183.21428667000433,183.21428667000433,0.2651436854848109,44,,,,
55,saturn,common,19,29,1,0,3.8172986577181208,6825.330,1783,2000,32,170,0,548181,385,425.3882418774876,425.3882418774876,0.23858005713824318,30,,,,
56,marble,rare,29,29,1,0,7.2087577854671280,2083.331,279,289,26,1500,0,125343,51,33.1133079214988,33.1133079214988,0.1186856914749061,68,,,,
57,skull,uncommon,29,29,1,0,6.5068560490045942,4248.977,651,653,11,2340.000000000000000000,0,369818,235,31.023778566388284,31.023778566388284,0.047655573834697824,69,,,,
58,skullpatch,rare,29,24,1,0,8.8292400000000000,1324.386,150,150,29,2470.000000000000000000,0,658521,145,74.12549611231839,74.12549611231839,0.4941699740821226,51,,,,
59,football,common,29,29,1,0,3.4935415000000000,6987.083,1997,2000,28,365,0,1065232,954,814.8471380843231,814.8471380843231,0.4080356224758754,18,,,,
60,starballoon,common,29,24,1,0,3.4916231671554252,11906.435,3146,3694,23,149,0,95488,129,40.93759106018118,40.93759106018118,0.013012584570941252,66,,,,
61,tamagochi,epic,29,29,1,0,11.8668289473684211,901.879,76,76,19,8920.000000000000000000,0,252333,130,223.01851844086565,223.01851844086565,2.9344541900113903,39,,,,
62,target,uncommon,29,29,1,0,5.0122427055702918,3779.231,719,754,4,388.000000000000000000,0,37975,34,7.897507312036087,7.897507312036087,0.010984015733012638,80,,,,
64,tomato,uncommon,29,29,1,0,4.8934675324675325,3767.970,748,770,4,390,0,126926,52,26.396287375575834,26.396287375575834,0.03528915424542224,71,,,,
65,volleyball,common,29,29,1,0,3.4039967989756722,5317.043,1562,2000,19,164.600000000000000000,1,1106181,283,816.522996245993,816.522996245993,0.522741995035847,17,,,,
66,racoon,uncommon,29,29,1,0,6.3091539440203562,4958.995,739,786,4,500,0,26461,36,5.502987254345935,5.502987254345935,0.007446532143905189,81,,,,
67,peach,rare,29,29,1,0,10.0543960396039604,1015.494,101,100,16,2730.000000000000000000,0,29411,15,9.541701946788839,9.541701946788839,0.09447229650285979,78,,,,
68,watermelon,uncommon,29,29,1,0,3.8919216666666667,2335.153,600,600,3,581.798000000000000000,0,181614,195,61.001216654255224,61.001216654255224,0.10166869442375871,56,,,,
69,citrus,epic,29,29,1,0,15.1942400000000000,759.712,50,50,20,8500,0,81968,55,18.14164217630276,18.14164217630276,0.3628328435260552,73,,,,
70,potion,epic,29,29,1,0,13.9205000000000000,696.025,50,50,7,11131.000000000000000000,0,1927145,394,1071.657797843469,1071.657797843469,21.43315595686938,11,,,,
71,crlogo,legendary,21,21,1,0,20.7033000000000000,207.033,10,10,18,56733.333320000000000000,3,2891468,1866,2108.923484796509,2108.923484796509,210.8923484796509,4,,,,
72,yinyang,uncommon,29,29,1,0,5.4041994645247657,4036.937,719,747,4,399,0,10278,14,2.1374741317473833,2.1374741317473833,0.002972843020510964,85,,,,
73,waffle2,legendary,29,29,1,0,17.1200500000000000,342.401,20,20,8,44600.000000000000000000,0,306549,95,53.15784694307552,53.15784694307552,2.657892347153776,59,,,,
74,snowman,epic,29,29,1,0,12.4864400000000000,624.322,50,50,21,7800,0,628905,179,389.218353007079,389.218353007079,7.784367060141579,31,,,,
75,crosshair,common,29,29,1,0,3.2002525000000000,6400.505,2000,2000,29,500,0,718740,304,81.21094489821697,81.21094489821697,0.04060547244910848,49,,,,
76,xmasball2,common,29,29,1,0,3.8641045485403938,11383.652,2726,4014,10,55,0,278036,251,53.431100480702156,53.431100480702156,0.019600550433126248,58,,,,
