id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,RankPrize,BetPrize,ZonePrize
36,floater,rare,29,24,1,0,8.5471266666666667,1282.069,150,150,27,2920.000000000000000000,0,17177,17177,21,4.104031422675459,4.104031422675459,0.02736020948450306,76,,,,
37,fox,uncommon,29,29,1,0,6.0326017925736236,4711.462,709,781,17,395,0,162930,162930,125,28.036972532746752,28.036972532746752,0.03954439003208286,54,,,,
38,fox777,legendary,29,24,1,0,31.7482857142857143,444.476,14,14,7,104100.000000000000000000,0,1325320,1325320,277,186.29234827829586,186.29234827829586,13.306596305592562,31,,,,
40,gamer,rare,29,29,1,0,10.2984300000000000,1029.843,99,100,25,5000,0,127129,127129,56,6.834537152943863,6.834537152943863,0.06903572881761477,73,,,,
41,xmasball,epic,29,29,1,0,10.7919833333333333,647.519,60,60,11,8005.000000000000000000,0,39898,39898,28,7.563045227128987,7.563045227128987,0.1260507537854831,72,,,,
42,derp,uncommon,29,29,1,0,7.0851833333333333,2975.777,420,420,19,1278.000000000000000000,0,74798,74108,48,11.2868648651904,11.2868648651904,0.02687348777426286,64,,,,
43,moneybag,legendary,29,29,1,0,19.1464000000000000,191.464,10,10,10,41000.138000000000000000,0,184218,107730,41,102.63879321291941,102.63879321291941,10.263879321291942,43,,,,
44,moon,uncommon,29,21,1,0,6.2036333333333333,3722.180,600,600,11,6620.000000000000000000,2,7084281,6545001,1743,3297.309988483187,3297.309988483187,5.4955166474719785,4,300.000000000000000000,,,
45,bull,uncommon,29,29,1,0,6.3757525906735751,4922.081,738,772,29,452.000000000000000000,0,143676,143676,42,16.705134387515454,16.705134387515454,0.022635683451917958,59,,,,
46,opencan,uncommon,29,29,1,0,5.0037433333333333,3002.246,600,600,28,524.000000000000000000,0,23337,23337,20,3.6804256601688863,3.6804256601688863,0.006134042766948144,78,,,,
47,candyswirl,rare,29,24,1,0,11.6242100000000000,1162.421,100,100,19,6850.000000000000000000,1,1441614,1441614,632,502.5828353995164,502.5828353995164,5.025828353995164,16,,,,
48,royman,epic,29,29,1,0,12.5101000000000000,625.505,50,50,6,6950,0,35687,35687,26,8.343447769094569,8.343447769094569,0.16686895538189137,68,,,,
49,panda,uncommon,29,29,1,0,5.4815683333333333,3288.941,599,600,26,506.800000000000000000,0,1220244,868965,305,351.16953494128063,351.16953494128063,0.5862596576649093,23,,,,
50,melon,rare,29,29,1,0,7.0184354243542435,1901.996,267,271,23,1500,0,211938,211938,42,32.667116921473344,32.667116921473344,0.12234875251488143,51,,,,
51,casinochip,uncommon,29,29,1,0,5.1883933333333333,3113.036,600,600,7,1580.000000000000000000,0,1354423,1354423,418,158.38082648149305,158.38082648149305,0.26396804413582176,35,,,,
52,pizza,rare,29,29,1,0,8.9814866666666667,1347.223,150,150,7,2500,0,1480637,866072,283,396.7795865874407,396.7795865874407,2.645197243916271,19,,,,
53,jackolantern,rare,29,29,1,0,9.6713266666666667,1450.699,150,150,19,2190.000000000000000000,0,131287,105785,49,20.430994508949464,20.430994508949464,0.1362066300596631,57,,,,
54,waffle,uncommon,29,29,1,0,5.1553067400275103,3747.908,678,727,23,379,0,14854,14854,4,2.2895250250146977,2.2895250250146977,0.0033768805678682855,80,,,,
55,saturn,common,29,29,1,0,3.7520225000000000,7504.045,1996,2000,3,204.000000000000000000,0,51236,51236,48,9.55461812589667,9.55461812589667,0.004786882828605546,66,,,,
56,marble,rare,29,29,1,0,7.4884494773519164,2149.185,278,287,23,1160.000000000000000000,0,251503,251503,55,37.90523951160425,37.90523951160425,0.13634978241584264,49,,,,
57,skull,uncommon,29,24,1,0,6.5772511485451761,4294.945,651,653,7,940.000000000000000000,4,6507693,4343440,971,2651.8502625618967,2651.8502625618967,4.073502707468351,5,,,,
58,skullpatch,rare,29,29,1,0,9.1198800000000000,1367.982,150,150,18,2600,0,786135,489321,264,264.4629176821605,264.4629176821605,1.76308611788107,26,,,,
59,football,common,24,19,1,0,4.1414840000000000,8282.968,1997,2000,30,1260,5,9271104,7886276,2583,3869.294842334823,4369.2948423348225,2.1879293151401216,3,400.000000000000000000,500,124,
60,starballoon,common,29,29,1,0,3.4588618063112078,12714.776,3413,3677,15,83.880000000000000000,0,80944,80944,72,13.972157846149717,13.972157846149717,0.004093805404673225,61,,,,
61,tamagochi,epic,29,29,1,0,11.9836052631578947,910.754,76,76,16,7293.000000000000000000,0,125907,125907,16,25.21205577699687,25.21205577699687,0.3317375760131167,55,,,,
