id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,ZonePrize,RankPrize,BetPrize
47,candyswirl,rare,24,24,1,0,10.8497500000000000,1084.975,100,100,25,7881.400000000000000000,0,2419794,1395,1024.1713203892978,1024.1713203892978,10.241713203892978,17,,,,
48,royman,epic,29,29,1,0,12.0921200000000000,604.606,50,50,23,7000,0,45776,23,9.216705616173455,9.216705616173455,0.18433411232346908,82,,,,
49,panda,uncommon,29,29,1,0,5.3725066666666667,3223.504,599,600,20,875,0,1524341,473,615.7347187249491,615.7347187249491,1.0279377608095979,23,,,,
50,melon,rare,29,29,1,0,7.0017445255474453,1918.478,270,274,28,2100,0,198613,102,48.62562882948294,48.62562882948294,0.18009492159067755,63,,,,
51,casinochip,uncommon,29,24,1,0,4.9611616666666667,2976.697,600,600,29,1700,0,1165045,705,420.7822779393106,420.7822779393106,0.7013037965655177,26,,,,
52,pizza,rare,29,29,1,0,8.7986266666666667,1319.794,150,150,21,3220.000000000000000000,0,1073901,407,354.62013827725775,354.62013827725775,2.3641342551817184,32,,,,
53,jackolantern,rare,29,29,1,0,9.5764533333333333,1436.468,150,150,31,2491.000000000000000000,0,310222,158,69.35631050573339,69.35631050573339,0.4623754033715559,55,,,,
54,waffle,uncommon,29,29,1,0,5.1413975576662144,3789.210,688,737,23,333,0,221925,65,44.683183193579474,44.683183193579474,0.06494648719997016,66,,,,
55,saturn,common,29,29,1,0,3.6570655000000000,7314.131,1996,2000,5,420,0,534416,359,250.69054229454443,250.69054229454443,0.12559646407542305,39,,,,
56,marble,rare,29,29,1,0,7.3009618055555556,2102.677,279,288,12,1700,0,289075,145,86.90123092295838,86.90123092295838,0.31147394596042427,53,,,,
57,skull,uncommon,29,29,1,0,6.5452970903522205,4274.079,651,653,23,1184.095238095200000000,0,653651,292,359.0840702205162,359.0840702205162,0.5515884335184581,31,,,,
58,skullpatch,rare,29,29,1,0,8.9129800000000000,1336.947,150,150,5,2114.000000000000000000,0,286352,71,52.53270407302739,52.53270407302739,0.3502180271535159,61,,,,
59,football,common,29,24,1,0,3.8565835000000000,7713.167,1997,2000,25,950,2,6639568,2795,3063.958962814858,3063.958962814858,1.5342809027615714,7,100.000000000000000000,,,
60,starballoon,common,29,29,1,0,3.4195754205100380,12604.555,3423,3687,23,93.000000000000000000,0,397491,433,253.3706260252302,253.3706260252302,0.07402004850284259,38,,,,
61,tamagochi,epic,29,29,1,0,11.9494868421052632,908.161,76,76,33,7713.000000000000000000,0,342879,76,40.330891978715655,40.330891978715655,0.5306696312988902,71,,,,
62,target,uncommon,29,29,1,0,5.0224021304926764,3771.824,716,751,23,350,0,200497,122,40.368792072831376,40.368792072831376,0.05638099451512762,70,,,,
64,tomato,uncommon,29,29,1,0,4.9149751958224543,3764.871,744,766,23,303.400000000000000000,0,46332,40,10.26872089053116,10.26872089053116,0.013802044207703172,80,,,,
65,volleyball,common,29,29,1,0,3.0231575000000000,6046.315,2000,2000,32,201.000000000000000000,1,3639619,864,1726.1223512286397,1726.1223512286397,0.8630611756143198,13,,,,
66,racoon,uncommon,29,29,1,0,6.3322531806615776,4977.151,740,786,23,475,0,82091,119,22.29373488445163,22.29373488445163,0.030126668762772472,74,,,,
