id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,ZonePrize,BetPrize,RankPrize
42,derp,uncommon,29,24,1,0,6.8451023809523810,2874.943,420,420,23,1420.000000000000000000,0,728075,413,322.700005489936,322.700005489936,0.7683333464046096,28,,,,
43,moneybag,legendary,29,29,1,0,21.8785000000000000,218.785,10,10,19,46200.000000000000000000,0,406758,123,127.32472908372279,127.32472908372279,12.732472908372278,46,,,,
44,moon,uncommon,21,24,1,0,5.4145116666666667,3248.707,600,600,21,2780.000000000000000000,4,4874582,1801,3758.8031806397885,3758.8031806397885,6.264671967732981,2,200.000000000000000000,1000,224.00000000000003,
45,bull,uncommon,29,21,1,0,6.1032600000000000,4882.608,766,800,30,856.000000000000000000,2,1939529,1214,1115.91066333087,1115.91066333087,1.4568024325468276,12,,,,
46,opencan,uncommon,29,29,1,0,4.9192300000000000,2951.538,600,600,22,600.000000000000000000,0,213257,81,59.58300493966885,59.58300493966885,0.0993050082327814,53,,,,
47,candyswirl,rare,29,24,1,0,10.3365200000000000,1033.652,100,100,28,3415.500000000000000000,0,74945,27,10.199478074697959,10.199478074697959,0.1019947807469796,73,,,,
48,royman,epic,29,29,1,0,13.5318600000000000,676.593,50,50,17,10000,0,734,1,0.12136384180978028,0.12136384180978028,0.0024272768361956057,85,,,,
49,panda,uncommon,29,29,1,0,5.2640566666666667,3158.434,599,600,15,530.000000000000000000,0,1253936,452,519.890474369813,519.890474369813,0.867930675074813,20,,,,
50,melon,rare,29,24,1,0,7.1275909090909091,2038.491,282,286,4,1521.800000000000000000,1,787146,248,431.62851066604327,431.62851066604327,1.5305975555533449,22,,,,
51,casinochip,uncommon,29,29,1,0,4.7183233333333333,2830.994,600,600,25,701.000000000000000000,0,440446,139,167.0716607523975,167.0716607523975,0.2784527679206625,43,,,,
52,pizza,rare,29,29,1,0,8.6238133333333333,1293.572,150,150,16,3790.138000000000000000,0,891373,375,366.2668781230737,366.2668781230737,2.441779187487158,25,,,,
53,jackolantern,rare,29,29,1,0,9.5820733333333333,1437.311,150,150,26,2020.000000000000000000,0,353541,172,180.92501492589554,180.92501492589554,1.206166766172637,40,,,,
54,waffle,uncommon,29,29,1,0,5.1011513513513514,3774.852,691,740,23,498,0,20380,24,3.386052795208556,3.386052795208556,0.00490022112186477,80,,,,
55,saturn,common,24,29,1,0,3.9575825879546810,6636.866,1672,2000,7,200,0,341089,273,83.43634999658642,83.43634999658642,0.04990212320370001,50,,,,
56,marble,rare,29,29,1,0,7.1926655172413793,2085.873,280,290,12,1591.000000000000000000,1,542093,187,331.0996300651609,331.0996300651609,1.182498678804146,27,,,,
57,skull,uncommon,29,24,1,0,6.4967886676875957,4242.403,651,653,22,1229.998600000000000000,0,1675368,502,1207.7811852487134,1207.7811852487134,1.855270637862847,10,,,,
58,skullpatch,rare,29,29,1,0,8.7683666666666667,1315.255,150,150,30,2480.000000000000000000,0,1563747,355,565.2982318356748,565.2982318356748,3.7686548789044982,19,,,,
59,soccerball,common,24,21,1,0,3.4395625000000000,6879.125,1997,2000,22,426.000000000000000000,3,2546809,1572,2386.1823020209213,2386.1823020209213,1.1948834762247977,5,,,,
60,starball,common,29,29,1,0,3.5045698638247484,11838.437,3114,3697,18,108.200000000000000000,0,106784,122,17.734194289831535,17.734194289831535,0.0056949885323800695,66,,,,
61,tamagochi,epic,29,24,1,0,11.9821298701298701,922.624,77,77,17,7920.000000000000000000,0,90111,28,14.899478405069633,14.899478405069633,0.19349971954635886,68,,,,
62,target,uncommon,29,29,1,0,5.0177748344370861,3788.420,720,755,14,298.000000000000000000,0,110940,75,18.513942138632306,18.513942138632306,0.025713808525878203,64,,,,
64,tomato,uncommon,29,29,1,0,4.8916554838709677,3791.033,753,775,15,398,0,10619,28,1.9145599754878564,1.9145599754878564,0.002542576328669132,82,,,,
65,volleyball,common,29,24,1,0,3.6073440559440559,5158.502,1430,2000,22,168.000000000000000000,0,405155,140,213.1382488220173,213.1382488220173,0.14904772644896314,37,,,,
66,racoon,uncommon,29,29,1,0,6.3205126903553299,4980.564,741,788,23,395.800000000000000000,0,35620,61,5.918115827543119,5.918115827543119,0.007986661035820674,76,,,,
67,peach,rare,29,29,1,0,10.0366732673267327,1013.704,101,100,31,2730.000000000000000000,0,110607,35,43.854836544498994,43.854836544498994,0.4342063024207821,57,,,,
68,watermelon,uncommon,29,24,1,0,3.8659216666666667,2319.553,600,600,4,470.000000000000000000,0,63283,35,13.741340921238589,13.741340921238589,0.02290223486873098,69,,,,
69,citrus,epic,29,29,1,0,15.5282600000000000,776.413,50,50,5,9500,0,601758,414,168.5630789977315,168.5630789977315,3.37126157995463,42,,,,
70,potion,epic,29,29,1,0,13.8888400000000000,694.442,50,50,16,11131.000000000000000000,0,374201,150,187.48923255306678,187.48923255306678,3.7497846510613355,39,,,,
71,crlogo,legendary,29,29,1,0,18.3796000000000000,183.796,10,10,10,41200.000000000000000000,0,88573,40,86.95468961802138,86.95468961802138,8.695468961802138,49,,,,
72,yinyang,uncommon,29,29,1,0,5.4065554072096128,4049.510,721,749,23,395.400000000000000000,0,12662,15,2.1037389839514584,2.1037389839514584,0.0029178071899465443,81,,,,
73,waffle2,legendary,29,29,1,0,17.0602380952380952,358.265,21,21,15,39000.000000000000000000,0,264873,81,47.755461379357286,47.755461379357286,2.274069589493204,56,,,,
74,snowman,epic,29,29,1,0,12.3596800000000000,617.984,50,50,14,8000,0,473126,191,171.32746060742735,171.32746060742735,3.4265492121485472,41,,,,
75,crosshair,common,29,29,1,0,3.1837960000000000,6367.592,2000,2000,20,286.338000000000000000,1,1645881,552,713.9226122638637,713.9226122638637,0.35696130613193183,16,,,,
76,xmasball2,common,29,29,1,0,3.8753759782238857,11389.730,2719,4018,8,55,0,393729,281,331.83966006279155,331.83966006279155,0.12204474441441396,26,,,,
77,xmasball1,rare,24,29,1,100.000000000000000000,10.6066700000000000,1060.667,100,100,8,6500.000000000000000000,2,2490155,859,2697.245613988177,2697.245613988177,26.97245613988177,4,,,,
78,vase,common,29,29,1,0,2.8240493150684932,4123.112,1459,2000,23,150.000000000000000000,0,378929,213,62.957487715190524,62.957487715190524,0.043151122491563075,52,,,,
79,ufo,uncommon,21,17,1,0,5.2017116666666667,3121.027,600,600,23,3500,1,6212690,2758,2345.479214779772,2345.479214779772,3.9091320246329535,6,400.000000000000000000,,195.5,
80,wheeee,rare,29,29,1,0,8.4241333333333333,1263.620,150,150,13,3090.000000000000000000,0,52528,24,17.904980402045528,17.904980402045528,0.11936653601363685,65,,,,
81,owl,epic,29,29,1,200.000000000000000000,16.8603400000000000,843.017,50,50,24,18000,0,250135,57,118.19045155796474,118.19045155796474,2.3638090311592945,47,,,,
83,ape,epic,29,24,1,0,14.8618200000000000,743.091,50,50,14,17228.000000000000000000,1,2296428,697,1070.0857362037555,1070.0857362037555,21.40171472407511,13,100.000000000000000000,,,
84,ghost,epic,19,29,1,0,18.9452800000000000,947.264,50,50,19,19200.000000000000000000,3,10192943,2507,4367.699812396409,7367.699812396409,147.35399624792817,1,300.000000000000000000,,423.3333333333333,3000
85,diver,rare,29,29,1,0,7.5437333333333333,1131.560,150,150,32,4700,1,3381812,890,2028.9378486147054,2028.9378486147054,13.526252324098037,8,,,,
86,cobra,legendary,29,24,1,0,29.5821000000000000,295.821,10,10,8,73400.000000000000000000,1,2797767,689,2176.1234806800076,2176.1234806800076,217.61234806800076,7,,,,
87,clock,common,29,29,1,0,2.3186916135881104,4368.415,1884,2000,15,168.000000000000000000,0,310103,124,148.70294914737755,148.70294914737755,0.07892937852833204,44,,,,
88,ladybug,rare,29,24,1,0,9.2779866666666667,1391.698,150,150,29,5430.000000000000000000,0,1160520,454,582.5313617418852,582.5313617418852,3.8835424116125683,18,,,,
89,dragon,epic,29,29,1,100.000000000000000000,14.8375800000000000,741.879,50,50,25,12350,2,2246400,709,1134.4982238338546,1134.4982238338546,22.68996447667709,11,100.000000000000000000,,,
90,virus,common,29,29,1,0,2.3770055000000000,4754.011,2000,2000,20,169.000000000000000000,0,491413,263,231.96747269333747,231.96747269333747,0.11598373634666874,34,,,,
91,cougar,rare,29,29,1,0,8.5013133333333333,1275.197,150,150,9,2900,2,1132409,412,763.8377672400533,763.8377672400533,5.092251781600355,15,,,,
92,botroyale,legendary,29,29,1,0,14.1605000000000000,141.605,10,10,17,39200.000000000000000000,0,529945,311,254.25763634858873,254.25763634858873,25.425763634858875,32,,,,
93,mummy,epic,29,19,1,0,13.4292400000000000,671.462,50,50,32,15000,4,3768081,1153,2816.8143611763994,2816.8143611763994,56.33628722352799,3,100.000000000000000000,,,
94,frankie,rare,24,29,1,0,5.8859333333333333,882.890,150,150,27,2590.000000000000000000,1,978460,355,602.8869676933606,602.8869676933606,4.019246451289071,17,,,,
