id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,ZonePrize,bets,BetPrize
53,jackolantern,rare,29,29,1,0,9.5469400000000000,1432.041,150,150,5,2604.000000000000000000,0,97352,42,18.853369848749693,18.853369848749693,0.12568913232499795,78,,,,
54,waffle,uncommon,29,29,1,0,5.1039539295392954,3766.718,689,738,6,399,0,261298,106,77.42071721922173,77.42071721922173,0.11236678841686754,52,,,,
55,saturn,common,24,29,1,0,3.6055610000000000,7211.122,1995,2000,8,175,0,335783,339,56.08706460625185,56.08706460625185,0.028113816845239024,61,,,,
56,marble,rare,29,29,1,0,7.2392733564013841,2092.150,280,289,25,1407.800000000000000000,0,201471,134,151.321990953413,151.321990953413,0.5404356819764751,49,,,,
57,skull,uncommon,29,29,1,0,6.5274517611026034,4262.426,651,653,7,1280.000000000000000000,0,638427,333,515.7251729167972,515.7251729167972,0.7922045666924689,26,,,,
58,skullpatch,rare,29,29,1,0,8.8820666666666667,1332.310,150,150,4,2600,0,133990,25,153.6671739429311,153.6671739429311,1.0244478262862073,47,,,,
59,football,common,19,21,1,0,3.5868015000000000,7173.603,1997,2000,13,500,1,3137056,1698,1866.4781935485066,1866.4781935485066,0.934641058361796,10,,,,
60,starballoon,common,29,29,1,0,3.4939433093525180,12141.453,3211,3689,33,135.000000000000000000,0,134245,228,23.287011335566884,23.287011335566884,0.007252261393823383,75,,,,
61,tamagochi,epic,29,29,1,0,11.9061184210526316,904.865,76,76,11,8700,0,68332,23,13.972316870001547,13.972316870001547,0.18384627460528352,81,,,,
62,target,uncommon,29,29,1,0,5.0135026595744681,3770.154,717,752,31,399,0,36945,24,15.060861944295006,15.060861944295006,0.02100538625424687,80,,,,
64,tomato,uncommon,29,29,1,0,4.9105351562500000,3771.291,746,768,33,358.600000000000000000,0,64495,87,11.187722418618094,11.187722418618094,0.01499694694184731,82,,,,
65,volleyball,common,29,29,1,0,3.1040461538461538,5851.127,1885,2000,6,149.000000000000000000,0,142273,121,42.43449778886023,42.43449778886023,0.02251166991451471,66,,,,
66,racoon,uncommon,29,29,1,0,6.3191577608142494,4966.858,740,786,7,380.200000000000000000,0,59297,76,18.375648110164644,18.375648110164644,0.024831956905627898,79,,,,
67,peach,rare,29,29,1,0,10.0122900000000000,1001.229,100,100,24,3640.000000000000000000,0,137165,37,36.57123518981213,36.57123518981213,0.3657123518981213,69,,,,
68,watermelon,uncommon,29,29,1,0,3.9439666666666667,2366.380,600,600,18,705.800000000000000000,0,266837,198,151.69465999083474,151.69465999083474,0.2528244333180579,48,,,,
69,citrus,epic,29,29,1,0,15.4610600000000000,773.053,50,50,26,8800,0,239786,114,173.37205438466475,173.37205438466475,3.467441087693295,44,,,,
70,potion,epic,24,24,1,0,13.4847800000000000,674.239,50,50,13,11000,2,2082909,298,1350.5341483467341,1350.5341483467341,27.01068296693468,12,,,,
71,crlogo,legendary,24,21,1,0,24.8166000000000000,248.166,10,10,19,56733.333320000000000000,2,2759167,1355,1714.3024305656686,1714.3024305656686,171.43024305656687,11,,,,
72,yinyang,uncommon,29,29,1,0,5.3727273991655076,3862.991,691,719,31,396.800000000000000000,0,125469,102,51.148228103633784,51.148228103633784,0.07402059059860171,62,,,,
73,waffle2,legendary,29,29,1,0,16.7036666666666667,300.666,18,18,8,44600.000000000000000000,0,425705,136,307.3714145614906,307.3714145614906,17.07618969786059,33,,,,
74,snowman,epic,29,29,1,0,12.4191200000000000,620.956,50,50,18,7999,1,681390,205,772.550570373112,772.550570373112,15.45101140746224,18,,,,
75,crosshair,common,21,29,1,0,3.2267375000000000,6453.475,2000,2000,11,540,5,4478298,1534,3409.956031687962,3909.956031687962,1.954978015843981,3,500,,,
76,xmasball2,common,29,29,1,0,3.8768260575296108,11456.021,2735,4009,21,55,0,339390,284,171.11295508754066,171.11295508754066,0.06256415176875343,45,,,,
77,xmasball1,rare,29,29,1,100.000000000000000000,11.1270000000000000,1112.700,100,100,7,10323.000000000000000000,1,3151566,1118,2630.60335107564,2630.60335107564,26.3060335107564,4,,,,
78,vase,common,29,29,1,0,2.6410904817861340,4495.136,1701,2000,5,151.000000000000000000,0,249522,92,51.02850835511785,51.02850835511785,0.029999123077670695,63,,,,
79,ufo,uncommon,29,24,1,0,5.5362283333333333,3321.737,600,600,30,4900,5,6862550,2041,8344.143831372146,11344.143831372146,18.906906385620243,1,3000,1000,1400.000000000000000000,160.26785714285714
80,wheeee,rare,29,29,1,0,8.3461533333333333,1251.923,150,150,20,2600,1,167484,124,971.6800699011592,971.6800699011592,6.477867132674395,15,,,,
81,owl,epic,29,29,1,200.000000000000000000,17.0992600000000000,854.963,50,50,10,17775.000000000000000000,0,455357,57,263.5931650912967,263.5931650912967,5.271863301825935,37,,,,
83,ape,epic,29,29,1,0,15.1584600000000000,757.923,50,50,12,16911.000000000000000000,1,1803368,690,2177.2802302370533,2177.2802302370533,43.545604604741065,7,,,,
84,ghost,epic,29,17,1,0,19.5108800000000000,975.544,50,50,18,30019.000000000000000000,4,5792189,1884,4858.320953178795,5858.320953178795,117.1664190635759,2,1000,,700.000000000000000000,122.32142857142858
85,diver,rare,29,24,1,0,7.7577266666666667,1163.659,150,150,22,4462.856000000000000000,0,3861557,886,2457.0746323880494,2457.0746323880494,16.38049754925366,6,,,,
86,cobra,legendary,29,21,1,0,31.7352000000000000,317.352,10,10,29,75400.000000000000000000,2,2104690,669,1943.2976476752578,1943.2976476752578,194.32976476752577,8,,,,
87,clock,common,29,29,1,0,2.2975710000000000,4595.142,2000,2000,33,160,0,237796,176,124.87068598977847,124.87068598977847,0.06243534299488923,50,,,,
88,ladybug,rare,29,29,1,0,9.4096600000000000,1411.449,150,150,3,3600.000000000000000000,0,226918,70,175.24692985747402,175.24692985747402,1.1683128657164934,43,,,,
89,dragon,epic,29,29,1,100.000000000000000000,15.3379400000000000,766.897,50,50,5,13885.714000000000000000,1,1602228,649,1001.8420745492692,1001.8420745492692,20.036841490985385,14,,,,
90,virus,common,29,24,1,0,2.4119010000000000,4823.802,2000,2000,16,172.000000000000000000,0,257537,209,237.668695780313,237.668695780313,0.1188343478901565,38,,,,
91,cougar,rare,29,29,1,0,8.9941466666666667,1349.122,150,150,23,4657.14,0,72685,50,27.489005085077636,27.489005085077636,0.18326003390051757,74,,,,
92,botroyale,legendary,29,29,1,0,20.4756000000000000,204.756,10,10,27,41240.000000000000000000,1,758686,412,769.7739903493346,769.7739903493346,76.97739903493346,19,,,,
93,mummy,epic,29,29,1,0,14.6812400000000000,734.062,50,50,29,14600,0,650346,214,554.0184638065834,554.0184638065834,11.08036927613167,24,,,,
94,frankie,rare,29,29,1,0,6.3441866666666667,951.628,150,150,29,2940.000000000000000000,0,156579,170,62.60615517872669,62.60615517872669,0.41737436785817794,56,,,,
95,earth,uncommon,29,24,1,0,2.2474350000000000,1348.461,600,600,28,1140,0,527306,834,364.97930904375426,364.97930904375426,0.6082988484062571,30,,,,
