id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,ZonePrize,RankPrize,bets,BetPrize
18,burger,rare,29,29,1,300.000000000000000000,9.7814266666666667,1467.214,150,150,14,5000,0,430161,430161,87,91.42097082802353,91.42097082802353,0.6094731388534902,49,,,,
19,button,common,29,29,1,0,3.8391632714200120,12815.127,3081,3338,4,110,0,391382,199131,114,223.98404608264045,223.98404608264045,0.0726984894782994,36,,,,
20,cat,uncommon,29,29,1,0,5.3562366666666667,3213.742,600,600,14,1100,0,475590,445605,200,819.2283756275668,819.2283756275668,1.3653806260459447,12,,,,
21,cherry,rare,29,29,1,0,10.2650700000000000,1026.507,98,100,4,3300.000000000000000000,0,271182,271182,108,143.6030607452623,143.6030607452623,1.465337354543493,41,,,,
22,egg,rare,29,29,1,0,13.9979800000000000,1399.798,100,100,14,8500,0,1048842,957713,290,807.2478753081326,807.2478753081326,8.072478753081326,13,,,,
23,coconut,rare,29,29,1,0,7.0198763250883392,1986.625,271,283,7,1550,0,55256,55256,26,8.13300741860737,8.13300741860737,0.030011097485636053,67,,,,
24,cute,uncommon,29,29,1,0,5.7225939226519337,4143.158,707,724,22,466,0,42280,23091,22,9.188616337621278,9.188616337621278,0.012996628483198413,66,,,,
25,devil,epic,29,21,1,0,15.0365000000000000,1232.993,81,82,13,11499.600000000000000000,0,4989469,4050067,1201,408.3169252016014,408.3169252016014,5.040949693846931,24,,,,
26,revolver,uncommon,29,29,1,0,4.1431416666666667,2485.885,600,600,31,593.198000000000000000,1,2591641,1761771,300,776.8595853034699,776.8595853034699,1.2947659755057832,14,,,,
27,disguise,epic,29,29,1,0,12.3947162162162162,917.209,73,74,7,7380.000000000000000000,0,9521,9521,6,0.8007974363441033,0.8007974363441033,0.010969827895124703,84,,,,
28,dog,uncommon,29,29,1,0,5.0524116666666667,3031.447,600,600,7,524,0,371109,364768,155,44.01565121744071,44.01565121744071,0.07335941869573452,53,,,,
29,donut,uncommon,29,29,1,0,5.5141648793565684,4113.567,686,746,25,400,0,123473,123473,67,94.60309497733604,94.60309497733604,0.13790538626433826,47,,,,
30,baseball,epic,29,29,1,0,9.6983714285714286,678.886,69,70,5,6718.800000000000000000,0,,,,,,,85,,,,
31,bowie,rare,29,29,1,0,7.8899335443037975,2493.219,312,316,33,1600,0,120546,62156,24,5.036952803082559,5.036952803082559,0.016144079497059483,69,,,,
32,eyeball,rare,29,17,1,0,7.0317430555555556,2025.142,275,288,33,1400,0,,,,,,,86,,,,
33,eyeball2,epic,29,29,1,0,10.5329733333333333,789.973,71,75,14,5690.000000000000000000,0,,,,,,,87,,,,
34,discoball,epic,29,29,1,0,14.3340188679245283,759.703,53,53,32,6977,0,208209,110411,58,53.561630105628105,53.561630105628105,1.0105967944458132,51,,,,
35,fishcake,uncommon,29,29,1,0,5.3530300957592339,3913.065,681,731,31,392.000000000000000000,0,5156,5156,3,1.1043002942902251,1.1043002942902251,0.0016215863352279372,81,,,,
36,floater,rare,29,29,1,0,8.5631000000000000,1284.465,150,150,15,2720.000000000000000000,0,46092,28808,19,103.95534227163988,103.95534227163988,0.6930356151442658,46,,,,
37,fox,uncommon,29,24,1,0,6.0481450577663671,4711.505,707,779,28,396,0,7752,7752,7,1.362462647021306,1.362462647021306,0.0019271041683469675,80,,,,
38,fox777,legendary,29,29,1,0,31.8682142857142857,446.155,14,14,14,104100.000000000000000000,0,664883,441468,135,393.1597904083013,393.1597904083013,28.08284217202152,25,,,,
40,gamer,rare,29,29,1,0,10.3690800000000000,1036.908,99,100,3,4700,0,169783,169783,27,119.35129096875514,119.35129096875514,1.2055685956439912,44,,,,
41,xmasball,epic,29,29,1,0,10.8081666666666667,648.490,60,60,12,8005.000000000000000000,0,35536,35536,23,4.581866592686155,4.581866592686155,0.07636444321143591,72,,,,
42,derp,uncommon,29,29,1,0,7.0966785714285714,2980.605,420,420,11,1360.000000000000000000,0,94748,94748,32,82.59019234036316,82.59019234036316,0.19664331509610275,50,,,,
43,moneybag,legendary,29,29,1,0,19.2033000000000000,192.033,10,10,3,41000.138000000000000000,0,15867,15867,7,4.460001951926666,4.460001951926666,0.44600019519266654,73,,,,
