id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,BetPrize,ZonePrize
55,saturn,common,29,29,1,0,3.7612025000000000,7522.405,1996,2000,20,210,0,323995,184718,107,151.7532055035104,151.7532055035104,0.076028660071899,43,,,,
56,marble,rare,29,29,1,0,7.5281783216783217,2153.059,277,286,3,1400,0,303140,303140,33,153.9872746660896,153.9872746660896,0.5559107388667495,42,,,,
57,skull,uncommon,29,29,1,0,6.5840230061349693,4292.783,650,652,5,830,0,1998420,1317569,478,379.86039450271034,379.86039450271034,0.5844006069272467,26,,,,
58,skullpatch,rare,29,24,1,0,9.1903200000000000,1378.548,150,150,15,2177.998000000000000000,0,155689,155689,65,34.98984403235958,34.98984403235958,0.2332656268823972,51,,,,
59,football,common,24,21,1,0,4.2505245000000000,8501.049,1997,2000,19,1192.000000000000000000,7,13838277,11474753,2474,6055.083218307182,9055.083218307182,4.53434312383935,1,3000,800.000000000000000000,223.12500000000003,1000
60,starballoon,common,29,29,1,0,3.4763404081632653,12775.551,3412,3676,24,88,0,64915,64915,25,8.836049859836939,8.836049859836939,0.002589698083187848,63,,,,
61,tamagochi,epic,29,29,1,0,12.1217631578947368,921.254,76,76,32,6500,0,66598,66598,8,17.059450743665096,17.059450743665096,0.2244664571534881,60,,,,
62,target,uncommon,29,29,1,0,5.0494584450402145,3766.896,711,746,30,400,0,432,432,1,0.049535191257157676,0.049535191257157676,6.96697486035973e-05,84,,,,
64,tomato,uncommon,29,29,1,0,5.0414691195795007,3836.558,739,761,14,430,0,26674,26674,27,4.648719367647563,4.648719367647563,0.00629055394810225,65,,,,
65,volleyball,common,29,29,1,0,3.1157915000000000,6231.583,2000,2000,6,220,0,379362,379276,161,159.46587736977264,159.46587736977264,0.07973293868488632,41,,,,
66,racoon,uncommon,29,29,1,0,6.3620333761232349,4956.024,733,779,23,378.000000000000000000,0,12765,12765,7,2.1926148953638704,2.1926148953638704,0.0029912890796232883,72,,,,
67,peach,rare,29,29,1,0,10.2949400000000000,1029.494,100,100,6,4475,0,434530,434530,134,226.5199225064531,226.5199225064531,2.265199225064531,34,,,,
68,watermelon,uncommon,29,19,1,0,4.3359500000000000,2601.570,600,600,10,594.600000000000000000,1,1608754,1503782,663,936.9310594810836,936.9310594810836,1.5615517658018059,11,,,,
69,citrus,epic,29,29,1,0,15.7646600000000000,788.233,50,50,25,7015.400000000000000000,0,26887,26887,11,3.8383410817956922,3.8383410817956922,0.07676682163591385,68,,,,
70,potion,epic,29,29,1,0,14.0806400000000000,704.032,50,50,8,9300.000000000000000000,0,986,986,3,0.14760762060612154,0.14760762060612154,0.002952152412122431,82,,,,
71,crlogo,legendary,29,29,1,0,35.7484000000000000,357.484,10,10,11,72464.800000000000000000,5,8464448,8093966,840,5455.402002385731,6455.402002385731,645.5402002385731,2,1000,300.000000000000000000,,
72,yinyang,uncommon,29,29,1,0,5.4871146853146853,3923.287,687,715,18,390.000000000000000000,0,35477,34987,16,5.229073776128949,5.229073776128949,0.00761146110062438,64,,,,
73,waffle2,legendary,29,29,1,0,17.7781111111111111,320.006,18,18,8,40000,0,1806036,1261398,174,429.0788200843797,429.0788200843797,23.837712226909982,25,,,,
74,snowman,epic,29,29,1,0,12.5537400000000000,627.687,50,50,9,6780.000000000000000000,0,260319,260319,77,29.78765331123411,29.78765331123411,0.5957530662246822,54,,,,
75,crosshair,common,21,17,1,0,3.6063695000000000,7212.739,2000,2000,20,1050,4,10527121,6656143,2393,3374.6439690822576,3374.6439690822576,1.687321984541129,4,,300.000000000000000000,247.00000000000003,
76,xmasball2,common,29,24,1,0,3.3885015082956259,13479.459,3758,3978,16,55,0,332402,332402,151,148.53370573374502,148.53370573374502,0.039524668902007724,44,,,,
77,xmasball1,rare,29,29,1,100.000000000000000000,11.5079100000000000,1150.791,100,100,17,3638.800000000000000000,0,2156,2156,1,0.11575675619353182,0.11575675619353182,0.0011575675619353181,83,,,,
78,vase,common,29,24,1,0,2.5367161419290355,5075.969,2000,2000,25,175,0,1196397,1154018,366,263.56757589583316,263.56757589583316,0.1317837879479166,32,,,,
79,ufo,uncommon,29,29,1,0,5.9585983333333333,3575.159,600,600,22,1800,1,1726233,1423979,194,732.149115912965,732.149115912965,1.2202485265216083,15,,,,
80,wheeee,rare,29,29,1,0,9.0201666666666667,1353.025,150,150,11,4211.400000000000000000,1,2055420,1214787,352,634.6242819620675,634.6242819620675,4.230828546413783,17,,,,
81,owl,epic,29,21,1,200.000000000000000000,17.5738200000000000,878.691,50,50,19,16000,1,1393125,704111,220,608.5511844088242,608.5511844088242,12.171023688176483,18,,,,
83,ape,epic,29,29,1,0,17.0012200000000000,850.061,50,50,14,11400,0,1578353,890718,314,589.3602243278472,589.3602243278472,11.787204486556943,20,,,,
84,ghost,epic,29,19,1,0,23.4333000000000000,1171.665,50,50,33,50100.000000000000000000,1,4282357,4129845,949,1845.867158965954,1845.867158965954,36.91734317931908,7,,100.000000000000000000,,
85,diver,rare,29,24,1,0,8.3328533333333333,1249.928,150,150,7,6800.000000000000000000,0,1712758,1677400,491,597.3368220548153,597.3368220548153,3.9822454803654357,19,,,,
86,cobra,legendary,29,29,1,0,34.4672000000000000,344.672,10,10,11,72500,0,1506622,1506622,375,806.4685116259818,806.4685116259818,80.64685116259818,13,,,,
87,clock,common,29,24,1,0,2.4737620000000000,4947.524,2000,2000,9,192.000000000000000000,0,516429,289803,169,136.96549944160833,136.96549944160833,0.06848274972080416,45,,,,
88,ladybug,rare,29,19,1,0,10.0937933333333333,1514.069,150,150,24,8457.142857142840000000,2,7055752,5834764,1624,3083.0848595994867,3083.0848595994867,20.553899063996578,5,,300.000000000000000000,,
89,dragon,epic,29,29,1,100.000000000000000000,16.5664600000000000,828.323,50,50,30,11000,0,1368974,1096056,113,303.2594861272807,303.2594861272807,6.065189722545614,28,,,,
90,virus,common,29,29,1,0,2.5619060000000000,5123.812,2000,2000,33,143.600000000000000000,0,271812,271812,150,37.38020775682311,37.38020775682311,0.018690103878411555,50,,,,
91,cougar,rare,29,29,1,0,9.0517733333333333,1357.766,150,150,4,2454.285714285700000000,0,144166,144166,47,21.555776594415683,21.555776594415683,0.14370517729610455,57,,,,
92,botroyale,legendary,29,29,1,0,23.7648000000000000,237.648,10,10,33,47240.000000000000000000,0,439390,439390,118,126.63489224602415,126.63489224602415,12.663489224602415,47,,,,
93,mummy,epic,29,29,1,0,15.2171600000000000,760.858,50,50,21,10759.800000000000000000,0,244702,244702,31,135.51797036672875,135.51797036672875,2.710359407334575,46,,,,
94,frankie,rare,29,29,1,0,7.8220933333333333,1173.314,150,150,23,2730.000000000000000000,1,2501902,2248233,590,1191.473854328003,1191.473854328003,7.943159028853353,9,,200.000000000000000000,,
95,earth,uncommon,29,29,1,0,3.1048066666666667,1862.884,600,600,13,616,0,12126,12126,10,1.5889390368919485,1.5889390368919485,0.0026482317281532474,75,,,,
131,bat,epic,29,29,1,0,11.3210800000000000,566.054,50,50,9,11380.000000000000000000,0,234035,234035,78,26.7800408064516,26.7800408064516,0.535600816129032,55,,,,
