,id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,RankPrize,BetPrize,ZonePrize
34,34,discoball,epic,29,29,1,0,13.5926981132075472,720.413,53,53,18,9000,0,112769,20,99.95144559307634,99.95144559307634,1.8858763319448366,49,,,,
35,35,fishcake,uncommon,29,29,1,0,5.3389333333333333,4004.200,700,750,16,390,0,84850,40,12.721407164705779,12.721407164705779,0.018173438806722543,64,,,,
36,36,floater,rare,29,29,1,0,8.0043733333333333,1200.656,150,150,23,5360.000000000000000000,0,233823,98,180.4580723044558,180.4580723044558,1.2030538153630388,41,100.000000000000000000,,,
37,37,fox,uncommon,29,24,1,0,5.8962606516290727,4705.216,725,798,16,450,0,9362,17,1.4036277416143255,1.4036277416143255,0.0019360382642956214,77,,,,
38,38,fox777,legendary,29,29,1,0,28.0395714285714286,392.554,14,14,14,143969.738000000000000000,0,294223,114,341.16926483502465,341.16926483502465,24.36923320250176,35,,,,
40,40,gamer,rare,29,29,1,0,9.2044000000000000,920.440,99,100,33,3100.000000000000000000,0,25147,11,10.17456287645435,10.17456287645435,0.10277336238842778,67,,,,
41,41,xmasball,epic,29,29,1,0,10.6924126984126984,673.622,62,63,33,5980.000000000000000000,0,74121,65,120.83035073751576,120.83035073751576,1.9488766247986413,47,,,,
42,42,derp,uncommon,29,24,1,0,6.8067523809523810,2858.836,420,420,24,1420.000000000000000000,0,251655,145,364.19653969879386,364.19653969879386,0.8671346183304616,32,,,,
43,43,moneybag,legendary,29,24,1,0,19.6534000000000000,196.534,10,10,12,43356.600000000000000000,2,793654,279,1086.3436153941477,1086.3436153941477,108.63436153941477,11,,,,
44,44,moon,uncommon,19,16,1,0,5.3538066666666667,3212.284,600,600,32,2969.800000000000000000,1,951050,678,1538.5225887061526,1538.5225887061526,2.5642043145102544,5,,,,
45,45,bull,uncommon,24,29,1,0,6.0244843945068664,4825.612,767,801,16,400,0,80623,17,12.087660693459917,12.087660693459917,0.015759661921068993,65,,,,
46,46,opencan,uncommon,24,29,1,0,4.9280400000000000,2956.824,600,600,7,700,0,557568,183,826.8332767460597,826.8332767460597,1.3780554612434328,15,,,,
47,47,candyswirl,rare,29,29,1,0,10.2501400000000000,1025.014,100,100,13,2486.000000000000000000,0,100523,48,80.63882024912226,80.63882024912226,0.8063882024912226,52,,,,
48,48,royman,epic,29,29,1,0,14.1109600000000000,705.548,50,50,32,10400.000000000000000000,0,,,,,,81,,,,
49,49,panda,uncommon,29,29,1,0,5.2294600000000000,3137.676,599,600,13,500,0,355732,150,629.5025399291387,629.5025399291387,1.0509224372773602,20,,,,
50,50,melon,rare,29,29,1,0,7.1408542372881356,2106.552,291,295,14,990.000000000000000000,0,169975,116,158.20898199740077,158.20898199740077,0.5436734776542982,43,,,,
51,51,casinochip,uncommon,29,29,1,0,4.6975366666666667,2818.522,600,600,16,630,0,,,,,,82,,,,
52,52,pizza,rare,24,29,1,0,8.5972733333333333,1289.591,150,150,24,3800,1,197690,167,484.91685354160035,484.91685354160035,3.232779023610669,25,,,,
53,53,jackolantern,rare,29,29,1,0,9.5263733333333333,1428.956,150,150,29,2100,0,67283,9,37.897504180597444,37.897504180597444,0.2526500278706496,58,,,,
54,54,waffle,uncommon,29,29,1,0,5.1237119784656797,3806.918,694,743,16,302.000000000000000000,0,15148,11,2.271112265538752,2.271112265538752,0.0032724960598541093,76,,,,
55,55,saturn,common,29,24,1,0,4.0173009950248756,6459.820,1603,2000,24,126.000000000000000000,0,191201,101,133.61850253059782,133.61850253059782,0.08335527294485204,45,,,,
56,56,marble,rare,29,29,1,0,7.1996164383561644,2102.288,282,292,22,1414.000000000000000000,0,198627,70,357.29795792084457,357.29795792084457,1.2670140351802999,33,,,,
57,57,skull,uncommon,29,29,1,0,6.4835972434915773,4233.789,651,653,21,1187.998600000000000000,0,561167,180,459.6026360661972,459.6026360661972,0.7059948326669696,27,,,,
58,58,skullpatch,rare,29,29,1,0,8.7088066666666667,1306.321,150,150,18,2272.000000000000000000,2,1104307,153,822.3075017849314,822.3075017849314,5.482050011899543,16,,,,
59,59,soccerball,common,17,29,1,0,3.3779925000000000,6755.985,1997,2000,31,140.000000000000000000,0,125022,82,327.5723491286009,327.5723491286009,0.1640322228986484,36,,,,
60,60,starball,common,24,29,1,0,3.4973650088809947,11814.099,3114,3700,16,102.000000000000000000,0,25962,20,3.892435743194949,3.892435743194949,0.0012499793651878448,72,,,,
61,61,tamagochi,epic,29,29,1,0,11.9238701298701299,918.138,77,77,11,7000,0,33403,9,146.35078018887037,146.35078018887037,1.9006594829723424,44,,,,
62,62,target,uncommon,29,29,1,0,5.0246393659180978,3803.652,721,757,16,298.000000000000000000,0,,,,,,83,,,,
64,64,tomato,uncommon,29,29,1,0,4.9073153846153846,3827.706,758,780,16,340,0,,,,,,84,,,,
65,65,volleyball,common,24,29,1,0,4.1211815856777494,4834.146,1173,2000,13,160.800000000000000000,0,279940,140,342.00429046885364,342.00429046885364,0.29156375999049755,34,,,,
66,66,racoon,uncommon,29,29,1,0,6.3274627054361568,5005.023,744,791,32,380,0,7380,15,7.002505801916701,7.002505801916701,0.009411970163866534,68,,,,
67,67,peach,rare,29,29,1,0,10.1228514851485149,1022.408,101,100,18,2850,0,56264,48,67.38769025582155,67.38769025582155,0.6672048540180352,53,,,,
68,68,watermelon,uncommon,29,29,1,0,3.8224333333333333,2293.460,600,600,24,500,0,2106,5,58.45619985067598,58.45619985067598,0.09742699975112663,55,,,,
69,69,citrus,epic,29,29,1,0,15.4063400000000000,770.317,50,50,7,9000,0,67039,31,43.50435509084402,43.50435509084402,0.8700871018168804,57,,,,
70,70,potion,epic,29,29,1,0,13.8585200000000000,692.926,50,50,29,11131.000000000000000000,0,184034,58,320.63258758918676,320.63258758918676,6.412651751783735,37,,,,
71,71,crlogo,legendary,29,29,1,0,18.0884000000000000,180.884,10,10,9,33842.000000000000000000,0,71152,30,93.3818655967084,93.3818655967084,9.33818655967084,51,,,,
72,72,yinyang,uncommon,29,29,1,0,5.4216141025641026,4228.859,752,780,16,400,0,80252,38,12.03203733390652,12.03203733390652,0.016000049646152287,66,,,,
73,73,waffle2,legendary,29,29,1,0,17.0298095238095238,357.626,21,21,32,39000.000000000000000000,0,90931,54,368.3380913056068,368.3380913056068,17.5399091097908,31,,,,
74,74,snowman,epic,29,29,1,0,12.3181200000000000,615.906,50,50,25,8880.000000000000000000,0,230076,27,118.73861075850839,118.73861075850839,2.3747722151701676,48,,,,
75,75,crosshair,common,29,21,1,0,3.1731215000000000,6346.243,2000,2000,28,594,1,667474,338,1253.1351608382115,1253.1351608382115,0.6265675804191058,8,100.000000000000000000,,,
76,76,xmasball2,common,29,29,1,0,3.8844267167748548,11369.717,2707,4019,16,55,0,103548,22,15.524764514919907,15.524764514919907,0.005735044150321354,62,,,,
77,77,xmasball1,rare,29,29,1,100.000000000000000000,10.4686700000000000,1046.867,100,100,23,6960.000000000000000000,0,663880,202,1192.5374925928502,1192.5374925928502,11.925374925928502,9,,,,
78,78,vase,common,29,29,1,0,2.8750891719745223,4062.501,1412,2000,6,132.400000000000000000,0,99237,54,158.3234684178329,158.3234684178329,0.11212710227891849,42,,,,
