,id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,ZonePrize,RankPrize,BetPrize
43,43,moneybag,legendary,29,24,1,0,19.5450000000000000,195.450,10,10,22,45756.600000000000000000,2,1353568,350,1100.372286544401,1100.372286544401,110.0372286544401,12,,,,
44,44,moon,uncommon,24,16,1,0,5.3480950000000000,3208.857,600,600,23,2969.800000000000000000,2,2922860,810,3473.8724448263315,3473.8724448263315,5.789787408043886,2,600.000000000000000000,,,183.5
45,45,bull,uncommon,29,29,1,0,6.0243620474406991,4825.514,767,801,16,400.400000000000000000,0,183293,32,9.551650066590417,9.551650066590417,0.012453259539231314,66,,,,
46,46,opencan,uncommon,29,24,1,0,4.9267200000000000,2956.032,600,600,33,700.000000000000000000,2,641973,215,804.2646244693742,804.2646244693742,1.3404410407822904,16,,,,
47,47,candyswirl,rare,29,21,1,0,10.2453900000000000,1024.539,100,100,31,2486.000000000000000000,0,33819,22,414.82070081211606,414.82070081211606,4.148207008121161,30,,,,
48,48,royman,epic,29,29,1,0,14.1109600000000000,705.548,50,50,32,10400.000000000000000000,0,,,,,,82,,,,
49,49,panda,uncommon,29,24,1,0,5.2198850000000000,3131.931,599,600,13,560,0,196745,72,312.4128638894513,312.4128638894513,0.5215573687636916,33,,,,
50,50,melon,rare,29,29,1,0,7.1334474576271186,2104.367,291,295,16,990.000000000000000000,1,390010,184,438.6038649141154,438.6038649141154,1.5072297763371663,28,,,,
51,51,casinochip,uncommon,29,29,1,0,4.6974100000000000,2818.446,600,600,16,645.200000000000000000,0,120442,71,8.999559524283596,8.999559524283596,0.014999265873805992,68,,,,
52,52,pizza,rare,29,29,1,0,8.5962066666666667,1289.431,150,150,11,3800,0,199014,90,189.89725230181506,189.89725230181506,1.2659816820121004,37,,,,
53,53,jackolantern,rare,29,29,1,0,9.5261600000000000,1428.924,150,150,29,2100,0,2570,2,2.0414177927905217,2.0414177927905217,0.013609451951936812,76,,,,
54,54,waffle,uncommon,29,29,1,0,5.1236218034993271,3806.851,694,743,16,326.800000000000000000,0,,,,,,83,,,,
55,55,saturn,common,29,29,1,0,4.0163443337484433,6450.249,1601,2000,8,140,1,668357,270,1131.0708943369684,1131.0708943369684,0.70647776036038,10,,,,
56,56,marble,rare,29,29,1,0,7.1983595890410959,2101.921,282,292,12,1414.000000000000000000,0,7233,12,90.92189571710152,90.92189571710152,0.32241806991879973,44,,,,
57,57,skull,uncommon,29,24,1,0,6.4787473200612557,4230.622,651,653,28,1187.998600000000000000,1,400304,137,889.8441451597621,889.8441451597621,1.366888087803014,14,,,,
58,58,skullpatch,rare,29,29,1,0,8.7075466666666667,1306.132,150,150,21,2272.000000000000000000,3,1172757,174,1168.8488695174306,1168.8488695174306,7.792325796782871,8,,,,
59,59,soccerball,common,29,24,1,0,3.3780330000000000,6756.066,1997,2000,28,150,0,282952,148,443.5003825606864,443.5003825606864,0.22208331625472527,27,,,,
60,60,starball,common,29,29,1,0,3.4966047957371226,11811.531,3114,3700,16,108.200000000000000000,0,158806,57,8.275598852520051,8.275598852520051,0.002657546195414275,70,,,,
61,61,tamagochi,epic,29,24,1,0,11.9232467532467532,918.090,77,77,32,7000,0,17254,4,12.31702120794538,12.31702120794538,0.15996131438890104,62,,,,
62,62,target,uncommon,29,29,1,0,5.0245416116248349,3803.578,721,757,16,300,0,79231,17,4.128836269939525,4.128836269939525,0.005726541289791297,74,,,,
64,64,tomato,uncommon,29,29,1,0,4.9072576923076923,3827.661,758,780,16,303.000000000000000000,0,,,,,,84,,,,
65,65,volleyball,common,29,29,1,0,4.1654515570934256,4815.262,1156,2000,6,153.200000000000000000,2,499463,158,1121.8239875123263,1121.8239875123263,0.9704359753566837,11,,,,
66,66,racoon,uncommon,29,29,1,0,6.3271289506953224,5004.759,744,791,16,390,0,,,,,,85,,,,
67,67,peach,rare,29,29,1,0,10.1189108910891089,1022.010,101,100,6,2850,0,59860,19,135.19997822078642,135.19997822078642,1.3386136457503606,40,,,,
68,68,watermelon,uncommon,29,29,1,0,3.8215316666666667,2292.919,600,600,22,535,0,24932,34,5.8712179188453,5.8712179188453,0.0097853631980755,73,,,,
69,69,citrus,epic,29,29,1,0,15.4032600000000000,770.163,50,50,21,9500,0,110213,39,62.98891526773717,62.98891526773717,1.2597783053547433,50,,,,
70,70,potion,epic,29,29,1,0,13.8545800000000000,692.729,50,50,9,10842.200000000000000000,0,81776,33,91.1514297194137,91.1514297194137,1.823028594388274,43,,,,
71,71,crlogo,legendary,29,29,1,0,18.0771000000000000,180.771,10,10,9,33842.000000000000000000,0,27809,14,45.639961592779976,45.639961592779976,4.563996159277997,54,,,,
72,72,yinyang,uncommon,29,29,1,0,5.4214271099744246,4239.556,754,782,16,418,0,149684,52,28.861733343626184,28.861733343626184,0.038278160933191224,57,,,,
73,73,waffle2,legendary,29,29,1,0,17.0225238095238095,357.473,21,21,32,39000.000000000000000000,0,186679,71,302.06264880572826,302.06264880572826,14.38393565741563,34,,,,
74,74,snowman,epic,29,29,1,0,12.3143200000000000,615.716,50,50,28,8880.000000000000000000,0,87530,27,54.80633651763154,54.80633651763154,1.0961267303526308,51,,,,
75,75,crosshair,common,29,24,1,0,3.1717760000000000,6343.552,2000,2000,14,600,1,1512930,459,1490.7853468427304,1490.7853468427304,0.7453926734213652,4,100.000000000000000000,,,564
76,76,xmasball2,common,29,29,1,0,3.8825652768284347,11360.386,2706,4019,16,55,0,36022,32,10.212341446855625,10.212341446855625,0.0037739621015726627,65,,,,
77,77,xmasball1,rare,29,24,1,100.000000000000000000,10.4640300000000000,1046.403,100,100,23,6960.000000000000000000,0,733446,208,1137.6242653614956,1137.6242653614956,11.376242653614957,9,100.000000000000000000,,,
