,id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,RankPrize,ZonePrize
25,25,devil,epic,29,29,1,0,13.6078588235294118,1156.668,84,85,9,8000,1,152930,68,515.3701111496924,515.3701111496924,6.135358466067767,23,,,,
26,26,revolver,uncommon,29,21,1,0,3.7708183333333333,2262.491,600,600,16,633.400000000000000000,0,26424,26,5.285295583241279,5.285295583241279,0.008808825972068798,62,,,,
27,27,disguise,epic,29,29,1,0,12.1009250000000000,968.074,79,80,14,5842.600000000000000000,0,128220,56,429.78022202880834,429.78022202880834,5.440255975048207,26,,,,
28,28,dog,uncommon,29,29,1,0,4.6838783333333333,2810.327,600,600,4,498.600000000000000000,0,35287,28,20.374596489618177,20.374596489618177,0.03395766081603029,57,,,,
29,29,donut,uncommon,29,29,1,0,5.4360052700922266,4125.928,699,759,16,400,0,21307,21,4.261799613689144,4.261799613689144,0.006096995155492338,65,,,,
30,30,baseball,epic,29,29,1,0,9.7219041095890411,709.699,72,73,12,4609.800000000000000000,0,,,,,,79,,,,
31,31,bowie,rare,29,29,1,0,7.6985752212389381,2609.817,335,339,16,1250,0,100647,66,61.16874557423973,61.16874557423973,0.18259327037086487,51,,,,
32,32,eyeball,rare,29,29,1,0,6.9703783783783784,2063.232,283,296,23,1300,0,63077,52,542.4941805193384,542.4941805193384,1.9169405672061428,20,,,,
33,33,eyeball2,epic,29,24,1,0,10.8349367088607595,855.960,75,79,10,5500.000000000000000000,0,1003,3,0.3361160540496714,0.3361160540496714,0.004481547387328952,74,,,,
34,34,discoball,epic,29,29,1,0,13.6350000000000000,722.655,53,53,18,9000,0,4821,3,74.08035971107137,74.08035971107137,1.3977426360579503,49,,,,
35,35,fishcake,uncommon,29,29,1,0,5.3389693333333333,4004.227,700,750,16,380,0,74320,39,89.68345746311196,89.68345746311196,0.1281192249473028,47,,,,
36,36,floater,rare,24,29,1,0,8.0103933333333333,1201.559,150,150,8,6660.000000000000000000,1,958674,208,1224.4542865586268,1224.4542865586268,8.163028577057512,10,200.000000000000000000,254,,
37,37,fox,uncommon,29,29,1,0,5.8967076537013802,4699.676,724,797,16,450,0,788,2,0.15761477897343806,0.15761477897343806,0.0002176999709577874,76,,,,
38,38,fox777,legendary,29,29,1,0,28.0447857142857143,392.627,14,14,6,143969.738000000000000000,2,211342,89,1086.0228704450988,1086.0228704450988,77.5730621746499,12,,,,
40,40,gamer,rare,29,29,1,0,9.2061100000000000,920.611,99,100,11,3100.000000000000000000,1,30052,37,278.1147505138997,278.1147505138997,2.809239904180805,35,,,,
41,41,xmasball,epic,29,29,1,0,10.6925238095238095,673.629,62,63,33,5980.000000000000000000,0,12166,18,88.82547395312426,88.82547395312426,1.4326689347278105,48,100.000000000000000000,,,
42,42,derp,uncommon,29,29,1,0,6.8078357142857143,2859.291,420,420,31,1420.000000000000000000,0,332247,156,797.7111972585299,797.7111972585299,1.899312374425071,16,,,,
43,43,moneybag,legendary,29,24,1,0,19.8283000000000000,198.283,10,10,15,43356.600000000000000000,1,1132309,404,1952.1188679003883,1952.1188679003883,195.21188679003882,4,,,,
44,44,moon,uncommon,24,19,1,0,5.3571200000000000,3214.272,600,600,18,2509.800000000000000000,1,1079405,577,1109.5234017846467,1109.5234017846467,1.849205669641078,11,,,,
45,45,bull,uncommon,29,29,1,0,6.0265350000000000,4821.228,766,800,16,400,0,13877,9,2.775660263723858,2.775660263723858,0.0036235773677857157,68,,,,
46,46,opencan,uncommon,29,29,1,0,4.9283883333333333,2957.033,600,600,20,706.000000000000000000,1,140373,76,382.66287803172594,382.66287803172594,0.6377714633862099,28,,,,
47,47,candyswirl,rare,29,21,1,0,10.2541300000000000,1025.413,100,100,10,2486.000000000000000000,1,426236,67,532.610310447446,532.610310447446,5.326103104474459,22,,,,
48,48,royman,epic,29,29,1,0,14.1109800000000000,705.549,50,50,32,10400.000000000000000000,0,,,,,,80,,,,
49,49,panda,uncommon,29,29,1,0,5.2351183333333333,3141.071,599,600,27,515,0,54906,40,534.2865666088919,534.2865666088919,0.8919642180448947,21,,,,
50,50,melon,rare,29,29,1,0,7.1422779661016949,2106.972,291,295,5,1269.800000000000000000,0,219887,104,285.5628587568464,285.5628587568464,0.9813156658310873,34,,,,
51,51,casinochip,uncommon,29,29,1,0,4.6989783333333333,2819.387,600,600,5,647.200000000000000000,0,27935,15,14.322215515061476,14.322215515061476,0.023870359191769126,58,,,,
52,52,pizza,rare,29,29,1,0,8.5990533333333333,1289.858,150,150,10,3800,1,55225,99,235.95423168029987,235.95423168029987,1.573028211201999,37,,,,
53,53,jackolantern,rare,29,29,1,0,9.5270266666666667,1429.054,150,150,29,2100,0,33677,26,264.90600346254416,264.90600346254416,1.7660400230836277,36,,,,
54,54,waffle,uncommon,29,29,1,0,5.1239111709286676,3807.066,694,743,16,357.200000000000000000,0,,,,,,81,,,,
55,55,saturn,common,29,24,1,0,4.0165319677219119,6470.633,1606,2000,14,180,0,50622,90,47.923288672013435,47.923288672013435,0.029840154839360793,52,,,,
56,56,marble,rare,29,29,1,0,7.2004691780821918,2102.537,282,292,22,1604.000000000000000000,0,28617,36,7.988738203888835,7.988738203888835,0.028328858879038424,60,,,,
57,57,skull,uncommon,29,24,1,0,6.4850505359877489,4234.738,651,653,21,1187.998600000000000000,0,36590,31,134.780671413414,134.780671413414,0.20703636161814748,43,,,,
58,58,skullpatch,rare,29,29,1,0,8.7096933333333333,1306.454,150,150,10,2372.000000000000000000,1,180001,37,235.7456077367244,235.7456077367244,1.571637384911496,38,,,,
59,59,soccerball,common,24,24,1,0,3.3745060000000000,6749.012,1997,2000,28,170,0,134290,120,391.4350502032523,391.4350502032523,0.196011542415249,27,,,,
60,60,starball,common,29,29,1,0,3.4976050917702783,11814.910,3114,3700,16,102.000000000000000000,0,23425,33,4.685439336869019,4.685439336869019,0.0015046369097203014,64,,,,
61,61,tamagochi,epic,29,29,1,0,11.9247272727272727,918.204,77,77,11,6750,0,1527,2,1.9419936214885887,1.9419936214885887,0.025220696382968685,69,,,,
62,62,target,uncommon,29,29,1,0,5.0253355350066050,3804.179,721,757,16,300.000000000000000000,0,,,,,,82,,,,
64,64,tomato,uncommon,29,29,1,0,4.9073564102564103,3827.738,758,780,16,320.800000000000000000,0,359,3,0.07180673306023384,0.07180673306023384,9.473183781033489e-05,77,,,,
65,65,volleyball,common,24,29,1,0,4.0690912133891213,4862.564,1195,2000,29,165.000000000000000000,1,170154,118,866.2638144296449,866.2638144296449,0.7249069576817112,14,,,,
66,66,racoon,uncommon,29,29,1,0,6.3275259165613148,5005.073,744,791,32,395,0,3663,12,2.9971551455441454,2.9971551455441454,0.004028434335408798,67,,,,
67,67,peach,rare,29,29,1,0,10.1255247524752475,1022.678,101,100,27,2850,0,8087,12,33.2093674820665,33.2093674820665,0.32880561863432173,55,,,,
68,68,watermelon,uncommon,29,29,1,0,3.8233233333333333,2293.994,600,600,4,504.000000000000000000,0,14594,33,325.0707793635894,325.0707793635894,0.541784632272649,31,,,,
69,69,citrus,epic,29,29,1,0,15.4131600000000000,770.658,50,50,11,8410,1,235256,64,377.2031371491707,377.2031371491707,7.544062742983414,29,,,,
70,70,potion,epic,29,29,1,0,13.8591800000000000,692.959,50,50,29,11131.000000000000000000,0,1520,3,5.635899551656374,5.635899551656374,0.11271799103312748,61,,,,
71,71,crlogo,legendary,29,29,1,0,18.0922000000000000,180.922,10,10,9,33842.000000000000000000,0,,,,,,83,,,,
72,72,yinyang,uncommon,29,29,1,0,5.4214754521963824,4196.222,746,774,16,395,0,,,,,,84,,,,
73,73,waffle2,legendary,29,29,1,0,17.0393809523809524,357.827,21,21,8,39000.000000000000000000,0,2165,1,1.012418345212384,1.012418345212384,0.048210397391065904,72,,,,
74,74,snowman,epic,29,29,1,0,12.3237200000000000,616.186,50,50,31,8880.000000000000000000,0,,,,,,85,,,,
75,75,crosshair,common,24,24,1,0,3.1741815000000000,6348.363,2000,2000,29,550,0,658759,368,729.7971411237851,729.7971411237851,0.36489857056189257,17,200.000000000000000000,,,
76,76,xmasball2,common,29,29,1,0,3.8835515710382514,11371.039,2708,4019,28,55,0,79737,70,295.83002600447645,295.83002600447645,0.10924299335468111,33,,,,
77,77,xmasball1,rare,29,24,1,100.000000000000000000,10.4744600000000000,1047.446,100,100,23,6960.000000000000000000,2,889616,321,3119.206845288479,6119.20684528848,61.1920684528848,1,100.000000000000000000,,3000,
78,78,vase,common,29,29,1,0,2.8710211565585331,4071.108,1417,2000,25,132.400000000000000000,0,93149,88,110.11117523985016,110.11117523985016,0.07770725140426969,45,,,,
79,79,ufo,uncommon,29,19,1,0,5.0794783333333333,3047.687,600,600,14,2200,3,874611,538,2181.619209285979,2181.619209285979,3.636032015476632,3,200.000000000000000000,,,
80,80,wheeee,rare,29,29,1,0,8.4151200000000000,1262.268,150,150,33,3000,0,12931,13,119.18869723239104,119.18869723239104,0.7945913148826069,44,,,,
81,81,owl,epic,29,21,1,200.000000000000000000,16.6680600000000000,833.403,50,50,21,17000,0,49595,26,205.7660094846423,205.7660094846423,4.115320189692846,39,,,,
83,83,ape,epic,21,29,1,0,14.5093000000000000,725.465,50,50,22,13480.000000000000000000,3,2347089,663,2791.921752956005,2791.921752956005,55.8384350591201,2,300.000000000000000000,473.3333333333333,,1000
84,84,ghost,epic,29,21,1,0,18.8457600000000000,942.288,50,50,28,19000,1,2230006,789,1304.4587292816896,1304.4587292816896,26.089174585633792,8,1000.000000000000000000,117.19999999999999,,
85,85,diver,rare,29,24,1,0,7.4815133333333333,1122.227,150,150,17,4335.400000000000000000,3,583523,215,1887.9918993819854,1887.9918993819854,12.58661266254657,5,,,,
86,86,cobra,legendary,29,21,1,0,28.3532000000000000,283.532,10,10,13,102000.000000000000000000,1,542683,232,813.8782403909001,813.8782403909001,81.38782403909002,15,0.000000000000000000,,,
87,87,clock,common,29,29,1,0,2.3717964004499438,4217.054,1778,2000,15,119.400000000000000000,0,10526,22,90.53891139598856,90.53891139598856,0.05092177243868873,46,,,,
88,88,ladybug,rare,29,24,1,0,9.2027733333333333,1380.416,150,150,32,5200,1,415502,177,1692.4695048283156,1692.4695048283156,11.28313003218877,7,,,,
89,89,dragon,epic,29,24,1,100.000000000000000000,15.2994600000000000,764.973,50,50,7,13000,0,199930,157,504.87733665635693,504.87733665635693,10.097546733127139,24,,,,
90,90,virus,common,29,19,1,0,2.3563755000000000,4712.751,2000,2000,17,136.000000000000000000,0,189360,154,156.1855702157767,156.1855702157767,0.07809278510788835,41,,,,
91,91,cougar,rare,29,21,1,0,8.3159733333333333,1247.396,150,150,8,3000,0,306423,225,337.32995982694547,337.32995982694547,2.248866398846303,30,,,,
92,92,botroyale,legendary,29,29,1,0,12.5529000000000000,125.529,10,10,5,60000,0,659,1,0.33786790851711157,0.33786790851711157,0.03378679085171116,73,,,,
93,93,mummy,epic,24,19,1,0,12.3188800000000000,615.944,50,50,31,14900.000000000000000000,0,715671,549,969.0739184517782,969.0739184517782,19.381478369035566,13,,,,
94,94,frankie,rare,29,29,1,0,5.7008600000000000,855.129,150,150,3,2900,1,117345,93,564.2470675025381,564.2470675025381,3.7616471166835876,18,,,,
