id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,ZonePrize,BetPrize
76,xmasball2,common,29,29,1,0,3.4075467552376086,13337.138,3694,3980,3,55,0,405952,405952,267,68.10603709216579,68.10603709216579,0.018436934784018894,47,,,,
77,xmasball1,rare,29,24,1,100.000000000000000000,11.5057700000000000,1150.577,100,100,6,7044,0,58287,58287,5,8.080877323584359,8.080877323584359,0.08080877323584358,69,,,,
78,vase,common,29,29,1,0,2.5003695000000000,5000.739,1999,2000,15,172.000000000000000000,0,1831763,1318079,423,224.09926022719824,224.09926022719824,0.11210568295507665,28,,,,
79,ufo,uncommon,29,29,1,0,5.9397500000000000,3563.850,600,600,14,1400.000000000000000000,0,3192974,3191094,475,713.401825460245,713.401825460245,1.1890030424337417,16,,,,
80,wheeee,rare,29,29,1,0,8.9056066666666667,1335.841,150,150,24,4050.000000000000000000,0,178629,178147,44,103.06384899792987,103.06384899792987,0.6870923266528658,45,,,,
81,owl,epic,29,29,1,200.000000000000000000,17.5626600000000000,878.133,50,50,21,18400.000000000000000000,0,106413,106413,13,24.21985658344423,24.21985658344423,0.4843971316688846,57,,,,
83,ape,epic,29,29,1,0,16.9582400000000000,847.912,50,50,12,16000,0,72298,72298,16,7.817465366596048,7.817465366596048,0.15634930733192096,70,,,,
84,ghost,epic,29,24,1,0,23.0562200000000000,1152.811,50,50,5,49600.000000000000000000,1,11151746,8610187,1873,2361.926190104175,2361.926190104175,47.2385238020835,6,,300.000000000000000000,,207.33333333333331
85,diver,rare,29,24,1,0,8.2624266666666667,1239.364,150,150,30,6550.000000000000000000,2,6214414,5086916,1102,2436.3882818625107,2436.3882818625107,16.24258854575007,5,,,,
86,cobra,legendary,29,29,1,0,34.3203000000000000,343.203,10,10,16,72500,1,1879778,1835139,441,988.8601303599436,988.8601303599436,98.88601303599435,12,,,,
87,clock,common,29,29,1,0,2.4679750000000000,4935.950,2000,2000,19,200,0,3723,3723,6,0.7293419708316741,0.7293419708316741,0.000364670985415837,82,,,,
88,ladybug,rare,29,24,1,0,9.6713200000000000,1450.698,150,150,22,8000,2,6298859,5891340,807,2502.1510773331806,2502.1510773331806,16.681007182221204,4,,100.000000000000000000,,
89,dragon,epic,29,29,1,100.000000000000000000,16.4998000000000000,824.990,50,50,3,13965.000000000000000000,0,462926,462926,166,158.0187543507567,158.0187543507567,3.160375087015134,35,,,,
90,virus,common,29,29,1,0,2.5525860000000000,5105.172,2000,2000,9,160.000000000000000000,0,277644,277644,111,36.10931608627773,36.10931608627773,0.018054658043138865,51,,,,
91,cougar,rare,29,29,1,0,9.4029533333333333,1410.443,150,150,30,3000,0,260294,260294,97,142.83189781630122,142.83189781630122,0.9522126521086748,37,,,,
92,botroyale,legendary,29,29,1,0,23.5783000000000000,235.783,10,10,11,47240.000000000000000000,0,977115,537682,203,237.6286343026121,237.6286343026121,23.762863430261213,27,,,,
93,mummy,epic,29,24,1,0,15.1810600000000000,759.053,50,50,4,9500,0,178575,178575,23,116.24598374568369,116.24598374568369,2.324919674913674,40,,,,
94,frankie,rare,29,29,1,0,7.2986400000000000,1094.796,150,150,10,3000,0,1504936,1490420,514,326.7178291078484,326.7178291078484,2.1781188607189894,23,,,,
95,earth,uncommon,29,29,1,0,3.0641333333333333,1838.480,600,600,7,798.000000000000000000,0,1164875,658014,363,461.7204319045674,461.7204319045674,0.769534053174279,21,,,,
131,bat,epic,29,29,1,0,10.7912400000000000,539.562,50,50,5,11560.000000000000000000,0,801536,486960,217,122.92847930794595,122.92847930794595,2.458569586158919,38,,,,
