id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,RankPrize,ZonePrize
41,xmasball,epic,29,29,1,0,10.8028166666666667,648.169,60,60,19,8005.000000000000000000,0,37152,37152,26,4.577865730459695,4.577865730459695,0.07629776217432824,75,,,,
42,derp,uncommon,29,29,1,0,7.0954023809523810,2980.069,420,420,19,1360.000000000000000000,0,875809,553609,223,230.17169298706523,230.17169298706523,0.5480278404453934,33,,,,
43,moneybag,legendary,29,29,1,0,19.1931000000000000,191.931,10,10,4,41000.138000000000000000,0,68549,68549,17,15.648698411554802,15.648698411554802,1.5648698411554802,67,,,,
44,moon,uncommon,29,24,1,0,6.2157833333333333,3729.470,600,600,27,5000,0,1712992,1356099,623,607.419802894254,607.419802894254,1.01236633815709,15,,,,
45,bull,uncommon,29,29,1,0,6.3808665803108808,4926.029,738,772,3,486.000000000000000000,0,455534,265617,110,225.4333118434762,225.4333118434762,0.30546519219983226,36,,,,
46,opencan,uncommon,29,29,1,0,5.0127250000000000,3007.635,600,600,18,480.000000000000000000,0,1030053,691311,223,308.61434938550025,308.61434938550025,0.5143572489758338,28,,,,
47,candyswirl,rare,29,24,1,0,11.6709300000000000,1167.093,100,100,26,7250.000000000000000000,0,1748854,1404669,527,592.0486007554077,592.0486007554077,5.920486007554078,16,,,,
48,royman,epic,29,29,1,0,12.5333000000000000,626.665,50,50,14,6900,0,33500,33500,6,4.583459231629289,4.583459231629289,0.09166918463258578,74,,,,
49,panda,uncommon,29,29,1,0,5.5011650000000000,3300.699,599,600,9,550,1,1355078,918817,387,541.0968723109512,541.0968723109512,0.9033336766459953,19,,,,
50,melon,rare,29,29,1,0,7.0403962962962963,1900.907,266,270,14,1600,0,197833,197833,67,27.06744746778857,27.06744746778857,0.10175732130747582,58,,,,
51,casinochip,uncommon,29,24,1,0,5.3380433333333333,3202.826,600,600,13,3500,3,4588907,3421739,1066,3076.9939681391634,3076.9939681391634,5.128323280231939,4,700.000000000000000000,,,
52,pizza,rare,29,29,1,0,8.8890600000000000,1333.359,150,150,13,2100.952380950940000000,0,1190252,740206,239,254.6102336914753,254.6102336914753,1.6974015579431685,32,,,,
53,jackolantern,rare,29,29,1,0,9.6946533333333333,1454.198,150,150,17,2250,0,114977,114977,44,77.77198444925818,77.77198444925818,0.5184798963283879,47,,,,
54,waffle,uncommon,29,29,1,0,5.1723645116918845,3760.309,678,727,33,398,1,593145,283291,94,381.1551515647799,381.1551515647799,0.5621757397710617,26,,,,
55,saturn,common,24,24,1,0,3.7593650000000000,7518.730,1996,2000,5,220,0,180244,180244,133,36.97125269156251,36.97125269156251,0.018522671689159574,54,,,,
56,marble,rare,29,29,1,0,7.5184216027874564,2157.787,278,287,8,1420.000000000000000000,0,39944,39944,16,4.9982826558804225,4.9982826558804225,0.017979434013958354,72,,,,
57,skull,uncommon,29,29,1,0,6.5776411042944785,4288.622,650,652,14,822,0,418107,418107,207,57.20526534205453,57.20526534205453,0.08800810052623774,50,,,,
58,skullpatch,rare,29,29,1,0,9.1514800000000000,1372.722,150,150,16,2350,0,397749,213614,117,45.627379483862626,45.627379483862626,0.3041825298924175,53,,,,
