,id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,ZonePrize,RankPrize,bets,BetPrize
23,23,coconut,rare,29,29,1,0,6.8641672354948805,2011.201,280,293,32,1650.000000000000000000,0,45228,67,71.71466267239187,71.71466267239187,0.2561237952585424,50,,,,
24,24,cute,uncommon,29,29,1,0,5.5891002747252747,4068.865,711,728,32,424.000000000000000000,0,,,,,,72,,,,
25,25,devil,epic,29,29,1,0,13.6164588235294118,1157.399,84,85,9,8000,0,5146,3,0.9009532876444398,0.9009532876444398,0.010725634376719521,70,,,,
26,26,revolver,uncommon,29,24,1,0,3.7752600000000000,2265.156,600,600,12,633.400000000000000000,0,23546,9,69.54541280290503,69.54541280290503,0.11590902133817506,52,,,,
27,27,disguise,epic,29,29,1,0,12.1108717948717949,944.648,77,78,32,5842.600000000000000000,0,18015,10,14.311899427654698,14.311899427654698,0.1858688237357753,60,,,,
28,28,dog,uncommon,29,29,1,0,4.6854000000000000,2811.240,600,600,4,498.200000000000000000,1,449018,150,1468.9427278038072,1468.9427278038072,2.448237879673012,7,,,,
29,29,donut,uncommon,29,29,1,0,5.4304564643799472,4116.286,698,758,32,400,0,126028,42,157.6337605165599,157.6337605165599,0.22583633311828066,40,,,,
30,30,baseball,epic,29,29,1,0,9.7221917808219178,709.720,72,73,12,4609.800000000000000000,0,32464,9,71.54248416971575,71.54248416971575,0.9936456134682743,51,,,,
31,31,bowie,rare,29,29,1,0,7.6946775147928994,2600.801,334,338,17,1270.000000000000000000,1,200039,74,387.10621070445404,387.10621070445404,1.1590006308516587,27,,,,
32,32,eyeball,rare,29,29,1,0,6.9601593220338983,2053.247,282,295,32,1300,0,44483,16,61.165593477569324,61.165593477569324,0.21689926765095505,53,,,,
33,33,eyeball2,epic,29,29,1,0,10.8364430379746835,856.079,75,79,10,5500.000000000000000000,1,9698,11,299.87464464598463,299.87464464598463,3.998328595279795,32,,,,
34,34,discoball,epic,29,29,1,0,13.6395471698113208,722.896,53,53,18,9000,0,,,,,,73,,,,
35,35,fishcake,uncommon,29,29,1,0,5.3390080000000000,4004.256,700,750,32,380,0,,,,,,74,,,,
36,36,floater,rare,24,24,1,0,8.0164133333333333,1202.462,150,150,20,6499,4,2426896,560,4313.111219341511,7313.111219341511,48.75407479561007,1,1000,3000,600.000000000000000000,184
37,37,fox,uncommon,29,29,1,0,5.8968143036386449,4699.761,724,797,32,450,0,,,,,,75,,,,
38,38,fox777,legendary,29,29,1,0,28.0495000000000000,392.693,14,14,17,143969.738000000000000000,2,193662,49,685.315066058786,685.315066058786,48.95107614705614,14,,,,
40,40,gamer,rare,29,29,1,0,9.2069900000000000,920.699,99,100,11,3100.000000000000000000,0,3608,1,4.382039682771717,4.382039682771717,0.044263027098704215,65,,,,
41,41,xmasball,epic,29,29,1,0,10.6929682539682540,673.657,62,63,33,5980.000000000000000000,0,26229,40,122.52063206695419,122.52063206695419,1.976139226886358,45,,,,
42,42,derp,uncommon,29,24,1,0,6.8098857142857143,2860.152,420,420,15,1420.000000000000000000,0,85339,34,274.7298385921672,274.7298385921672,0.6541186633146838,35,,,,
43,43,moneybag,legendary,29,24,1,0,20.1661000000000000,201.661,10,10,32,43356.600000000000000000,0,358580,159,549.6824239492494,549.6824239492494,54.968242394924935,19,,,,
44,44,moon,uncommon,29,19,1,0,5.3608750000000000,3216.525,600,600,8,2509.800000000000000000,1,494341,297,1240.7692783451082,1240.7692783451082,2.067948797241847,8,,,100.000000000000000000,
45,45,bull,uncommon,29,29,1,0,6.0268137500000000,4821.451,766,800,32,400,0,,,,,,76,,,,
