id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,tax,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
45526,uncommon,20000,casinochip,casinochip,,2023-03-13T23:07:47.752Z,1000.00,600,600,93,273,108,0.7,0
6444,rare,1600,eyeball,eyeball,,2023-02-08T13:11:50.415Z,80.00,289,289,228,239,89,0,0
63027,common,218,clock,clock,,2023-03-15T17:53:26.906Z,10.90,2000,2000,1338,0,0,0,0
63459,uncommon,3100,revolver,revolver,,2023-03-15T00:07:59.099Z,155.00,600,600,537,108,52,50.16,2740
54669,rare,5000,floater,floater,,2023-02-26T06:48:04.012Z,250.00,150,150,104,360,177,58.07,0
61475,uncommon,3500,casinochip,casinochip,,2023-03-14T15:01:28.271Z,175.00,600,600,541,15,9,0,0
54687,rare,5000,floater,floater,,2023-02-26T06:50:49.021Z,250.00,150,150,105,237,106,3.63,0
58184,common,900,virus,virus,,2023-03-15T23:51:45.248Z,45.00,2000,2000,107,21,12,0,0
56797,uncommon,750,panda,panda,,2023-03-13T10:04:29.762Z,37.50,600,600,553,98,48,0.66,0
21287,uncommon,590,fishcake,fishcake,,2023-03-13T05:25:47.942Z,29.50,735,735,553,1909,640,21.28,100
59267,rare,4200,cougar,cougar,,2023-02-24T15:48:08.074Z,210.00,150,150,111,240,102,1.93,0
715,uncommon,1500,cute,cute,,2023-03-13T14:09:43.124Z,75.00,724,724,106,611,323,0,0
54797,uncommon,2900,ufo,ufo,,2023-03-15T19:20:23.453Z,145.00,600,600,561,63,31,0.33,0
62563,uncommon,650,dog,dog,,2023-03-15T15:57:32.277Z,32.50,600,600,568,60,37,0,0
61632,uncommon,3500,casinochip,casinochip,,2023-03-14T15:01:13.462Z,175.00,600,600,585,26,13,0,0
54880,rare,5000,floater,floater,,2023-02-26T06:50:43.435Z,250.00,150,150,122,199,99,5.61,0
57412,epic,13000,dragon,dragon,,2023-03-09T02:47:50.117Z,650.00,50,50,46,2005,1015,8.13,0
53969,uncommon,900,panda,panda,,2023-03-14T14:34:19.327Z,45.00,600,600,263,0,0,0,0
39488,common,190,beachball,beachball,,2023-03-15T13:59:46.093Z,9.50,3500,3500,4714,112,45,1.66,0
34613,uncommon,700,fox,fox,,2023-03-14T20:48:47.181Z,35.00,784,784,445,751,315,7.47,0
71044,uncommon,1500,earth,earth,,2023-03-13T16:32:05.018Z,75.00,600,600,602,0,0,0,0
53449,rare,30000,diver,diver,,2023-03-01T18:56:52.279Z,1500.00,150,150,74,343,171,6.08,0
68088,uncommon,2500,panda,panda,,2023-03-15T18:07:56.235Z,125.00,600,600,608,15,6,0,0
10041,uncommon,400,tomato,tomato,,2023-03-15T18:06:36.286Z,20.00,763,763,612,46,24,0.2,0
64569,uncommon,580,dog,dog,,2023-03-15T12:53:15.818Z,29.00,600,600,612,0,0,0,0
6411,rare,3000,coconut,coconut,,2022-01-26T23:33:00.208Z,150.00,287,287,373,0,0,0,0
23882,common,100,basketball,basketball,,2023-03-15T23:16:57.915Z,5.00,4245,3398,620,210,118,0.99,0
10198,uncommon,404,tomato,tomato,,2023-03-15T16:10:08.647Z,20.20,763,763,623,387,146,4.03,0
36092,uncommon,500,fox,fox,,2023-03-14T20:48:33.018Z,25.00,784,784,624,751,320,5.50,100
49240,epic,14000,potion,potion,,2023-01-29T18:34:02.288Z,700.00,50,50,42,1156,533,61.60,0
57023,epic,13000,potion,potion,,2022-12-01T10:07:28.416Z,650.00,50,50,51,575,268,8.88,0
38538,rare,3000,bowie,bowie,,2022-02-10T16:16:57.602Z,150.00,320,320,372,0,0,0,0
62902,uncommon,950,revolver,revolver,,2023-03-14T06:52:02.745Z,47.50,600,600,374,10,4,0,0
42007,common,1000,alien,alien,,2023-03-15T14:42:49.962Z,50.00,2000,2000,645,8808,4192,301.93,0
63512,uncommon,700,watermelon,watermelon,,2023-03-14T15:11:02.614Z,35.00,600,600,380,1,0,0,0
59259,rare,4000,cougar,cougar,,2023-03-10T11:04:24.796Z,200.00,150,150,103,5052,2054,37.35,1180
36285,uncommon,511,fox,fox,,2023-03-13T19:36:09.089Z,25.55,784,784,666,902,325,11.90,0
63334,uncommon,2800,revolver,revolver,,2023-03-13T04:08:11.750Z,140.00,600,600,491,1855,808,96.65,8930
61323,uncommon,3500,casinochip,casinochip,,2023-03-14T15:01:51.049Z,175.00,600,600,501,9,4,0,0
47787,common,1500,volleyball,volleyball,,2023-03-15T18:03:10.583Z,75.00,2000,2000,704,665,368,2.38,1250
32418,uncommon,1200,donut,donut,,2023-03-14T21:15:39.719Z,60.00,746,746,709,590,230,7.97,0
36553,uncommon,398.69,fox,fox,,2023-03-15T16:36:51.753Z,19.9345,784,784,732,602,234,7.31,0
64151,uncommon,750,watermelon,watermelon,,2023-03-16T00:27:40.797Z,37.50,600,600,530,10,5,0.8,0
45882,common,1200,football,football,,2023-03-15T14:37:01.341Z,60.00,2000,2000,533,214,86,1.13,0
42061,uncommon,1100,panda,panda,,2023-03-13T23:37:55.667Z,55.00,600,600,57,2380,1123,164.21,0
49969,common,550,bowling,bowling,,2023-03-15T12:50:58.707Z,27.50,2000,2000,777,2393,1043,0,0
46377,rare,3500,peach,peach,,2023-03-07T01:01:09.992Z,175.00,100,100,61,3762,2037,519.70,0
