rarity,name,date,on_sale_price
common,soccerball,2022-11-02,"153,0"
legendary,spy,2022-11-02,"120000,0"
common,starball,2022-11-02,"177,0"
epic,tamagochi,2022-11-02,"9000,0"
uncommon,target,2022-11-02,"999,0"
uncommon,tomato,2022-11-02,"380,0"
uncommon,ufo,2022-11-02,"1400,0"
common,vase,2022-11-02,"134,0"
common,virus,2022-11-02,"145,0"
common,volleyball,2022-11-02,"150,0"
uncommon,waffle,2022-11-02,"350,0"
legendary,waffle2,2022-11-02,"90000,0"
uncommon,watermelon,2022-11-02,"530,0"
rare,wheeee,2022-11-02,"3000,0"
cosmetic,worldcup,2022-11-02,"3100,0"
epic,xmasball,2022-11-02,"8500,0"
rare,xmasball1,2022-11-02,"8000,0"
common,xmasball2,2022-11-02,"125,0"
uncommon,yinyang,2022-11-02,"370,0"
common,8ball,2022-11-03,"120,0"
common,alien,2022-11-03,"190,0"
epic,angel,2022-11-03,"17000,0"
epic,ape,2022-11-03,"16500,0"
rare,banana,2022-11-03,"1850,0"
epic,baseball,2022-11-03,"7990,0"
common,basketball,2022-11-03,"120,0"
common,beachball,2022-11-03,"100,0"
uncommon,bomb,2022-11-03,"750,0"
legendary,botroyale,2022-11-03,"141200,0"
rare,bowie,2022-11-03,"1300,0"
common,bowling,2022-11-03,"173,0"
uncommon,bull,2022-11-03,"485,0"
rare,burger,2022-11-03,"3880,0"
common,button,2022-11-03,"115,0"
rare,candyswirl,2022-11-03,"4200,0"
uncommon,casinochip,2022-11-03,"600,0"
uncommon,cat,2022-11-03,"850,0"
rare,cherry,2022-11-03,"2500,0"
epic,citrus,2022-11-03,"9000,0"
common,clock,2022-11-03,"135,0"
rare,coconut,2022-11-03,"1575,0"
rare,cougar,2022-11-03,"2655,0"
common,crosshair,2022-11-03,"440,0"
uncommon,cute,2022-11-03,"800,0"
uncommon,derp,2022-11-03,"1500,0"
epic,devil,2022-11-03,"8000,0"
epic,discoball,2022-11-03,"11111,0"
epic,disguise,2022-11-03,"8000,0"
rare,diver,2022-11-03,"3500,0"
uncommon,dog,2022-11-03,"525,0"
uncommon,donut,2022-11-03,"370,0"
epic,dragon,2022-11-03,"12900,0"
rare,egg,2022-11-03,"12000,0"
rare,eyeball,2022-11-03,"1300,0"
epic,eyeball2,2022-11-03,"30000,0"
uncommon,fishcake,2022-11-03,"350,0"
rare,floater,2022-11-03,"5000,0"
uncommon,fox,2022-11-03,"590,0"
legendary,fox777,2022-11-03,"200000,0"
rare,frankie,2022-11-03,"2875,0"
rare,gamer,2022-11-03,"5000,0"
epic,ghost,2022-11-03,"23000,0"
rare,jackolantern,2022-11-03,"2250,0"
rare,ladybug,2022-11-03,"5600,0"
rare,marble,2022-11-03,"1500,0"
rare,melon,2022-11-03,"1100,0"
uncommon,moon,2022-11-03,"3150,0"
epic,mummy,2022-11-03,"14000,0"
rare,ninja,2022-11-03,"5000,0"
uncommon,opencan,2022-11-03,"700,0"
epic,owl,2022-11-03,"18000,0"
uncommon,panda,2022-11-03,"500,0"
rare,peach,2022-11-03,"2800,0"
rare,pizza,2022-11-03,"4000,0"
epic,potion,2022-11-03,"11427,619047619048"
uncommon,racoon,2022-11-03,"1500,0"
uncommon,revolver,2022-11-03,"589,0"
epic,royman,2022-11-03,"10000,0"
common,saturn,2022-11-03,"134,0"
epic,shades,2022-11-03,"13500,0"
uncommon,skull,2022-11-03,"1619,0"
rare,skullpatch,2022-11-03,"2500,0"
epic,snowman,2022-11-03,"11500,0"
common,soccerball,2022-11-03,"150,0"
legendary,spy,2022-11-03,"120000,0"
common,starball,2022-11-03,"140,0"
epic,tamagochi,2022-11-03,"9000,0"
uncommon,target,2022-11-03,"999,0"
uncommon,tomato,2022-11-03,"380,0"
uncommon,ufo,2022-11-03,"1500,0"
common,vase,2022-11-03,"134,0"
common,virus,2022-11-03,"145,0"
common,volleyball,2022-11-03,"147,0"
uncommon,waffle,2022-11-03,"350,0"
legendary,waffle2,2022-11-03,"90000,0"
uncommon,watermelon,2022-11-03,"530,0"
rare,wheeee,2022-11-03,"3000,0"
cosmetic,worldcup,2022-11-03,"2700,0"
epic,xmasball,2022-11-03,"8500,0"
rare,xmasball1,2022-11-03,"8000,0"
common,xmasball2,2022-11-03,"125,0"
uncommon,yinyang,2022-11-03,"399,0"
common,8ball,2022-11-04,"112,0"
common,alien,2022-11-04,"185,0"
epic,angel,2022-11-04,"17000,0"
epic,ape,2022-11-04,"16500,0"
rare,banana,2022-11-04,"1800,0"
epic,baseball,2022-11-04,"7990,0"
common,basketball,2022-11-04,"111,0"
common,beachball,2022-11-04,"108,0"
uncommon,bomb,2022-11-04,"900,0"
legendary,botroyale,2022-11-04,"75000,0"
rare,bowie,2022-11-04,"1300,0"
common,bowling,2022-11-04,"166,0"
uncommon,bull,2022-11-04,"379,0"
rare,burger,2022-11-04,"4000,0"
common,button,2022-11-04,"109,0"
rare,candyswirl,2022-11-04,"4200,0"
uncommon,casinochip,2022-11-04,"700,0"
uncommon,cat,2022-11-04,"1000,0"
rare,cherry,2022-11-04,"2500,0"
epic,citrus,2022-11-04,"9500,0"
common,clock,2022-11-04,"140,0"
rare,coconut,2022-11-04,"1575,0"
rare,cougar,2022-11-04,"2655,0"
legendary,crlogo,2022-11-04,"80000,0"
common,crosshair,2022-11-04,"495,0"
uncommon,cute,2022-11-04,"800,0"
uncommon,derp,2022-11-04,"1500,0"
epic,devil,2022-11-04,"8000,0"
epic,discoball,2022-11-04,"9500,0"
epic,disguise,2022-11-04,"8000,0"
rare,diver,2022-11-04,"3500,0"
uncommon,dog,2022-11-04,"501,0"
uncommon,donut,2022-11-04,"360,0"
epic,dragon,2022-11-04,"12900,0"
rare,egg,2022-11-04,"11000,0"
rare,eyeball,2022-11-04,"1100,0"
epic,eyeball2,2022-11-04,"8500,0"
uncommon,fishcake,2022-11-04,"405,0"
rare,floater,2022-11-04,"5000,0"
uncommon,fox,2022-11-04,"580,0"
legendary,fox777,2022-11-04,"200000,0"
rare,frankie,2022-11-04,"2800,0"
rare,gamer,2022-11-04,"9523,809"
epic,ghost,2022-11-04,"23000,0"
rare,jackolantern,2022-11-04,"2000,0"
rare,ladybug,2022-11-04,"5600,0"
rare,marble,2022-11-04,"1650,0"
rare,melon,2022-11-04,"1100,0"
legendary,moneybag,2022-11-04,"80000,0"
uncommon,moon,2022-11-04,"3800,0"
epic,mummy,2022-11-04,"15000,0"
rare,ninja,2022-11-04,"5000,0"
uncommon,opencan,2022-11-04,"700,0"
epic,owl,2022-11-04,"17500,0"
uncommon,panda,2022-11-04,"500,0"
rare,peach,2022-11-04,"2600,0"
rare,pizza,2022-11-04,"4000,0"
epic,potion,2022-11-04,"11000,0"
uncommon,racoon,2022-11-04,"1700,0"
uncommon,revolver,2022-11-04,"800,0"
epic,royman,2022-11-04,"10000,0"
common,saturn,2022-11-04,"140,0"
epic,shades,2022-11-04,"12000,0"
uncommon,skull,2022-11-04,"1619,0"
rare,skullpatch,2022-11-04,"2500,0"
epic,snowman,2022-11-04,"11500,0"
common,soccerball,2022-11-04,"220,0"
legendary,spy,2022-11-04,"120000,0"
common,starball,2022-11-04,"108,0"
epic,tamagochi,2022-11-04,"9000,0"
uncommon,target,2022-11-04,"999,0"
uncommon,tomato,2022-11-04,"380,0"
uncommon,ufo,2022-11-04,"3000,0"
common,vase,2022-11-04,"140,0"
common,virus,2022-11-04,"140,0"
common,volleyball,2022-11-04,"145,0"
uncommon,waffle,2022-11-04,"350,0"
legendary,waffle2,2022-11-04,"90000,0"
uncommon,watermelon,2022-11-04,"520,0"
rare,wheeee,2022-11-04,"2800,0"
cosmetic,worldcup,2022-11-04,"3900,0"
epic,xmasball,2022-11-04,"8500,0"
rare,xmasball1,2022-11-04,"8000,0"
common,xmasball2,2022-11-04,"120,0"
uncommon,yinyang,2022-11-04,"379,0"
common,8ball,2022-11-05,"125,0"
common,alien,2022-11-05,"180,0"
epic,angel,2022-11-05,"17000,0"
epic,ape,2022-11-05,"19000,0"
rare,banana,2022-11-05,"1884,0"
epic,baseball,2022-11-05,"8000,0"
common,basketball,2022-11-05,"222,0"
common,beachball,2022-11-05,"108,0"
uncommon,bomb,2022-11-05,"875,0"
legendary,botroyale,2022-11-05,"75000,0"
rare,bowie,2022-11-05,"1300,0"
common,bowling,2022-11-05,"153,0"
uncommon,bull,2022-11-05,"379,0"
rare,burger,2022-11-05,"4000,0"
common,button,2022-11-05,"110,0"
rare,candyswirl,2022-11-05,"4200,0"
uncommon,casinochip,2022-11-05,"730,0"
uncommon,cat,2022-11-05,"1000,0"
rare,cherry,2022-11-05,"2500,0"
epic,citrus,2022-11-05,"9500,0"
common,clock,2022-11-05,"129,0"
rare,coconut,2022-11-05,"1575,0"
rare,cougar,2022-11-05,"2549,0"
legendary,crlogo,2022-11-05,"80000,0"
common,crosshair,2022-11-05,"499,0"
uncommon,cute,2022-11-05,"650,0"
uncommon,derp,2022-11-05,"1400,0"
epic,devil,2022-11-05,"8000,0"
epic,discoball,2022-11-05,"9500,0"
epic,disguise,2022-11-05,"6500,0"
rare,diver,2022-11-05,"4500,0"
uncommon,dog,2022-11-05,"505,0"
uncommon,donut,2022-11-05,"360,0"
epic,dragon,2022-11-05,"12900,0"
rare,egg,2022-11-05,"12000,0"
rare,eyeball,2022-11-05,"1070,0"
epic,eyeball2,2022-11-05,"8100,0"
uncommon,fishcake,2022-11-05,"350,0"
rare,floater,2022-11-05,"5000,0"
uncommon,fox,2022-11-05,"460,0"
legendary,fox777,2022-11-05,"200000,0"
rare,frankie,2022-11-05,"2852,38"
rare,gamer,2022-11-05,"9523,809"
epic,ghost,2022-11-05,"23000,0"
rare,jackolantern,2022-11-05,"2100,0"
rare,ladybug,2022-11-05,"5600,0"
rare,marble,2022-11-05,"1650,0"
rare,melon,2022-11-05,"1349,0"
legendary,moneybag,2022-11-05,"80000,0"
uncommon,moon,2022-11-05,"3299,0"
epic,mummy,2022-11-05,"16358,0"
rare,ninja,2022-11-05,"5000,0"
uncommon,opencan,2022-11-05,"700,0"
epic,owl,2022-11-05,"17500,0"
uncommon,panda,2022-11-05,"530,0"
rare,peach,2022-11-05,"2850,0"
rare,pizza,2022-11-05,"4150,0"
epic,potion,2022-11-05,"10200,0"
uncommon,racoon,2022-11-05,"370,0"
uncommon,revolver,2022-11-05,"800,0"
epic,royman,2022-11-05,"10000,0"
common,saturn,2022-11-05,"130,0"
epic,shades,2022-11-05,"12000,0"
uncommon,skull,2022-11-05,"1750,0"
